id;head_ru_de;transliteration_de;literal_de;meaning_de;equivalents_de;transparency_de;head_ru_eng;transliteration_eng;literal_eng;meaning_eng;equivalents_eng;transparency_eng
17;БРОСАТЬ СЛОВА НА ВЕТЕР;broßatj ßlowa na weter;Die Worte in den Wind werfen.;Reden, ohne Beachtung zu finden.;in den Wind reden;0.5;БРОСАТЬ СЛОВА НА ВЕТЕР;brosat’ slova na v’et’er;To throw words to the wind.;"Not to care what one says; to speak at random or idly.";"To talk to the wind; to waste one’s breath.";0.0
18;БРОСАТЬСЯ кому-либо В ГЛАЗА;broßatza (komu-libo) w glasa;Sich j-m in die Augen werfen.;"J-s ganze Aufmerksamkeit erregen; besonders augenfällig sein.";j-m in die Augen springen.;0.5;БРОСАТЬСЯ кому-либо В ГЛАЗА;brosattsa v glaza;To throw itself into someone’s eyes.;To arrest attention, to be striking, to be conspicuous. ;"To catch someone’s eye; to stare someone in the face";0.5
19;БРОСАТЬСЯ СЛОВАМИ;broßatza ßlowami;Mit Worten werfen.;Unverantwortlich (daher)reden und Versprechungen machen.;;0.0;БРОСАТЬСЯ СЛОВАМИ;brosattsa slovami ;To throw one’s words about;To speak irresponsibly, to use words lightly.;;0.0
20;БРОСИТЬ ТЕНЬ на кого-либо/что-либо;broßitj tenj (na kowo-libo/tschto-libo);Schatten auf j-n werfen.;"J-n verleumden; schlecht von j-m reden; j-n verdächtigen.";einen Schatten auf j-n/etw. werfen;1.0;БРОСИТЬ ТЕНЬ на кого-либо/что-либо;brosit’ t’en’;To cast a shadow on someone/something.;"To put someone or something in a bad light; to cast suspicion on someone; to blacken someone’s reputation.";To cast a slur on someone’s reputation;0.0
21;БЫТЬ МЕЖДУ МОЛОТОМ И НАКОВАЛЬНЕЙ;byyj meshdu molotom i nakowaljnej;Zwischen Hammer und Amboß sein;Sich in einer solchen Lage befinden, daß dieselbe Gefahr oder Unannehmlichkeit von zwei Seiten droht.;in der Klemme sein;0.0;БЫТЬ МЕЖДУ МОЛОТОМ И НАКОВАЛЬНЕЙ;byt’ m’ezhdu molotom i nakoval’n’ey;To be between the sledge-hammer and the anvil.;To be caught between two equally serious evils or dangers. ;To be between the devil and the deep blue sea;0.0
22;БЫТЬ НА ГОЛОВУ ВЫШЕ;bytj na golowu wysche;Um einen Kopf größer sein.;"Klüger, erfahrener, beschlagener sein als j-d; j-m geistig überlegen sein.";;0.0;БЫТЬ НА ГОЛОВУ ВЫШЕ;byt’ na golovu vyshe;To be a head taller than someone.;To be far superior to someone (mentally or morally).;To be head and shoulders above someone;0.5
23;БЫТЬ НА ДРУЖЕСКОЙ НОГЕ;bytj na drusheßkoj noge;Auf freundschaftlichem Fuße sein.;Ein enges, freundschaftliches Verhältnis zu j-m haben.;auf freundschaftlichem Fuße mit j-m stehen;0.5;БЫТЬ НА ДРУЖЕСКОЙ НОГЕ;byt’ na druzheskoy nog’e;To be on a friendly foot with someone.;To be on intimate or friendly terms with someone.;To be on a good/friendly footing with someone;1.0
24;БЫТЬ НА НОЖАХ;bytj na noshach;Bei den Messern sein.;"Mit j-m im Streit liegen; verfeindet sein.";;0.0;БЫТЬ НА НОЖАХ;byt’ na nozhakh;To be on the knives. ;To display mutual hostility.;"To be at daggers drawn; to be at swords’ points with someone.";0.5
25;БЫТЬ НА СЕДЬМОМ НЕБЕ;bytj na ßedjmom nebe;Im siebenten Himmel sein.;Überaus glücklich sein.;im siebenten Himmel sein;1.0;БЫТЬ НА СЕДЬМОМ НЕБЕ;byt’ na s’ed’mom n’eb’e;To be in the seventh heaven.;To be overfilled with joy, to be supremely happy or satisfied.;"To tread/walk on air; to be in seventh heaven";1.0
26;БЫТЬ HE В СВОЕЙ ТАРЕЛКЕ;bytj ne w ßwojej tarelke;Nicht in seinem eigenen Teller sein.;"Mißmutig, mißgestimmt sein; sich nicht wohl fühlen.";;0.0;БЫТЬ HE В СВОЕЙ ТАРЕЛКЕ;byt’ n’e v svoyey tar’elk’e;To be not in one’s personal plate.;To be not quite oneself, to be not quite at ease, to feel uneasy.;To be out of sorts;0.0
27;БЫТЬ НЕ ИЗ РОБКОГО ДЕСЯТКА;bytj ne is robkowo deßjatka;Nicht von der schüchternen Gruppe sein.;Beherzt / mutig sein.;;0.0;БЫТЬ НЕ ИЗ РОБКОГО ДЕСЯТКА;byt’ n’e iz robkovo des’atka;To be not of the timid dozen.;"Not one to scare easily; not easily frightened, not a coward.";;0.0
28;БЫТЬ HE КО ДВОРУ;bytj ne ko dworu;Nicht zum Hof gehören.;"Unangebracht sein; nicht passen. ";;0.0;БЫТЬ HE КО ДВОРУ;byt’ n’e ko dvoru;To be unfit for the courtyard.;"To be unsuitable, to be unwanted, not meeting certain requirements; to be an outsider.";Not to fit in;0.0
29;БЫТЬ НЕ НА СВОЁМ МЕСТЕ;bytj ne na ßwojom meßte;Nicht an seinem Platz sein.;Nicht die Aufgabe erfüllen können, die man übernommen hat.;nicht am richtigen Platz sein;0.5;БЫТЬ НЕ НА СВОЁМ МЕСТЕ;byt’ n’e na svoyom m’est’e;To be not in one’s own place.;To be unsuited to the position one fills, to be a misfit.;A round peg in a square hole;0.0
30;БЫТЬ ОДЕТЫМ С ИГОЛОЧКИ;bytj odetym ß igolotschki;Von der Nadel weg gekleidet sein.;Gerade erst fertiggestellte, neue Kleidung tragen.;wie aus dem Ei gepellt sein;0.0;БЫТЬ ОДЕТЫМ С ИГОЛОЧКИ;byt’ od’etym s igolochki;To be dressed as if straight from the pin. ;To be dressed in a brand-new suit, dress, etc.;"To be dressed up; as neat as a new pin";0.0
31;БЫТЬ у кого-либо ПОД БАШМАКОМ;bytj (u kowo-libo) pod baschmakom;Bei j-m unter dem Schuh sein. ;"Völlig abhängig von j-m sein; sich widerspruchslos j-m unterordnen.";unter j-s Pantoffel stehen;0.5;БЫТЬ у кого-либо ПОД БАШМАКОМ;byt’ pod bashmakom;To be under someone’s shoe.;To be under someone’s predominant influence, to be in complete subjection (usually said of a man who is dominated by his wife).;"To get someone by the short hairs; to be hen-pecked; to be under someone’s thumb";0.0
32;БЫТЬ СВЯЗАННЫМ СВОИМ СЛОВОМ;bytj ßwjasannym ßwoim ßlowom;Durch sein Wort gebunden sein.;Pflichtbewußt sein gegebenes Wort halten.;sich durch sein Wort gebunden fühlen;0.5;БЫТЬ СВЯЗАННЫМ СВОИМ СЛОВОМ;byt’ sv’azannym svoim slovom;To be bound by one’s word.;To be faithful in keeping one’s promise.;;0.0
33;ВАЛИТЬ В ОДНУ КУЧУ;walitj v odnu kutschu;Auf einen Haufen wälzen.;"Alles ohne Beachtung von Unterschieden vermengen; keinerlei Ordnungsprinzip berücksichtigen.";alles in einen Topf werfen;0.0;ВАЛИТЬ В ОДНУ КУЧУ;valit’ v odnii kuchu;To throw everything into one heap.;"To put together, to mix up indiscriminately; to lump everything together.";;0.0
34;ВАЛИТЬ С БОЛЬНОЙ ГОЛОВЫ НА ЗДОРОВУЮ;walitj ß boljnoj golowy na sdorowuju;Vom kranken Kopf auf den gesunden wälzen. ;Die Schuld auf einen anderen, auf den Unschuldigen schieben.;;0.0;ВАЛИТЬ С БОЛЬНОЙ ГОЛОВЫ НА ЗДОРОВУЮ;valit’ s bol’noy golovy na zdorovuyu;To shift something from an ailing head onto the one that doesn’t ail.;To blame someone else for one’s own fault.;"To lay one’s blame at someone else’s door; to shift the blame on someone";0.0
35;ВАЛИТЬСЯ ИЗ РУК;walitza is ruk;Aus den Händen fallen.;Nicht klappen (aus Mangel an Geschick, wegen schlechter Laune und aus ähnlichen Gründen).;"aus Mangel an Geschick, wegen schlechter Laune und aus ähnlichen Gründen; nicht von der Hand gehen";0.0;ВАЛИТЬСЯ ИЗ РУК;valittsa iz ruk;To fall out of one’s hands.;Something doesn’t go well because one is awkward, clumsy, doesn’t feel like doing it, or doesn’t have his heart in it.;;0.0
36;ВАРИТЬСЯ В СОБСТВЕННОМ СОКУ;waritza w ßobßtwennom ßoku;Im eigenen Saft kochen.;"Leben oder arbeiten ohne Verkehr mit anderen Menschen; die Erfahrungen anderer mißachten.";;0.0;ВАРИТЬСЯ В СОБСТВЕННОМ СОКУ;varittsa v sobstv’ennom soku;To stew in one’s own juice.;"To keep solitary or apart from other people making no use of other people’s knowledge and experience; to work solely by oneself without contact with others; to avoid social relations.";"To be aloof; to keep to oneself";0.0
37;ВБИВАТЬ В ГОЛОВУ;wbiwatj w golowu;In den Kopf schlagen.;Sich durch häufiges Wiederholen elw. einprägen.;;0.0;ВБИВАТЬ В ГОЛОВУ;vbivat’ v golovu;To hammer something into someone’s head.;"To make something completely understood by emphatic repetition; to keep reiterating something to make it stick in someone’s mind.";To hammer/drive something into someone’s head;1.0
38;ВБИВАТЬ КЛИН между кем-либо;wbiwatj klin (meshdu kem-libo);Einen Keil zwischen j-n schlagen.;Das gute Einvernehmen zwischen Menschen zerstören.;einen Keil zwischen zwei Menschen treiben;0.5;ВБИВАТЬ КЛИН между кем-либо;vbivat’ klin;To drive a wedge between two groups of people or two individuals.;"To cause a breach or separation, to split apart; to make people quarrel.";To drive a wedge;1.0
39;ВЕРТЕТЬСЯ КАК БЕЛКА В КОЛЕСЕ;wertetza kak belka w koleße;Sich wie ein Eichhörnchen im Rad drehen. ;"Sehr beschäftigt sein; geschäftig hin und her eilen; Scherereien haben.";weder Rast noch Ruh kennen;0.0;ВЕРТЕТЬСЯ КАК БЕЛКА В КОЛЕСЕ;v’ert’ettsa kak b’elka v kol’es’e;To turn like a squirrel in a wheel.;To constantly busy oneself, to toil, to bustle about.;"To be constantly on the go; to run/go around in small circles; to run around like a squirrel in a cage; to be as busy as a bee; to be busy as a bee/beaver";0.5
40;ВЕРТИТСЯ у кого-либо НА ЯЗЫКЕ;wertitza (u kowo-libo) na jasyke;Es dreht sich bei j-m auf der Zunge.;Etw. sagen wollen, was einem im Moment nicht einfällt.;es liegt j-m auf der Zunge;0.5;ВЕРТИТСЯ у кого-либо НА ЯЗЫКЕ;v’ertitsa na yazyk’e;It is whirling on someone’s tongue.;"On the verge of being uttered; something at the back of one’s mind one wants to say but which is not quite within recall of memory.";To be on the tip of one’s tongue;1.0
41;ВЕШАТЬ HOC;weschatj noß;Die Nase hängen (lassen);"Verzagt / niedergeschlagen sein; Verdruß empfinden";den Kopf hängen lassen;0.5;ВЕШАТЬ HOC;v’eshat’ nos;To hang one’s nose.;"To be crest-fallen, discouraged, despondent; to look dejected.";;0.0
42;ВЗВЕШИВАТЬ СВОИ СЛОВА;wsweschiwatj ßwoi ßlowa;Seine Worte abwägen. ;Sorgfältig überlegen und einschätzen, was man sagen will.;seine Worte wägen;1.0;ВЗВЕШИВАТЬ СВОИ СЛОВА;vzv’eshivat’ svoi slova;To weigh one’s words.;"To choose or use one’s words with deliberation; to give something a comprehensive evaluation.";To weigh one’s words;1.0
43;ВЗДОХНУТЬ СВОБОДНО;wsdochnutj ßwobodno;Frei aufatmen.;Sich von Sorgen, Verpflichtungen usw. befreit fühlen.;erleichtert / befreit aufatmen;0.5;ВЗДОХНУТЬ СВОБОДНО;vzdokhnut’ svobodno;To breathe freely.;To feel relieved of one’s cares or troubles.;To give a sigh of relief;0.0
44;ВЗЯТЬ БЫКА ЗА РОГА;wsjatj byka sa roga;Den Stier bei den Hörnern packen.;Eine Angelegenheit energisch in Angriff nehmen.;den Stier bei den Hörnern packen;1.0;ВЗЯТЬ БЫКА ЗА РОГА;vz’at’ byka za roga;To take the bull by the horns.;To take up a matter vigorously and promptly getting directly to its essence.;To take the bull by the horns;1.0
45;ВЗЯТЬ ГОЛЫМИ РУКАМИ;wsjatj golymi rukami;Mit bloßen Händen zufassen.;Sich etw. ohne besondere Anstrengung aneignen.;;0.0;ВЗЯТЬ ГОЛЫМИ РУКАМИ;vz’at’ golymi rukami;To take someone or something with one’s bare hands.;To seize, to take possession of someone or something without much difficulty, without making special effort.;"Without a hand’s turn; with one’s bare hands";1.0
46;ВЗЯТЬ СЕБЯ В РУКИ;wsjatj ßebja w ruki;Sich in die Hände nehmen.;Seine Gefühlsregungen, seine Stimmungen zügeln und zu vollkommener Selbstbeherrschung gelangen.;sich in der Gewalt haben;0.0;ВЗЯТЬ СЕБЯ В РУКИ;vzyat’ s’eb’a v ruki;To take oneself in one’s hands.;"To rouse oneself to renewed activity; to make a determined effort, to regain one’s normal mental state, to regain one’s self-control.";"To take hold of oneself; to take oneself in hand; to pull oneself together";0.5
47;ВЗЯТЬ СЛОВО;wsjatj ßlowo;Das Wort nehmen.;Aus eigenem Antrieb auf einer Versammlung sprechen.;das Wort ergreifen;0.5;ВЗЯТЬ СЛОВО;vz’at’ slovo;To take the word.;To rise to speak in a debate at one’s own request or initiative.;To take the floor;0.0
48;ВИДЕТЬ кого-либо НАСКВОЗЬ;widetj (kowo-libo) naßkwosj;Durch j-n hindurchsehen.;"J-n gründlich kennen; j-n durchschauen.";;0.0;ВИДЕТЬ кого-либо НАСКВОЗЬ;vid’et’ naskvoz’;To see through someone.;"To know someone well; to be well aware of someone’s thoughts and intentions.";"To know someone inside out; to see through someone; to read someone like a book";1.0
49;ВИДНО КАК НА ЛАДОНИ;widno kak na ladoni;Sichtbar wie auf der Handfläche.;Etw. ist völlig klar, ganz deutlich zu sehen.;;0.0;ВИДНО КАК НА ЛАДОНИ;vidno kak na ladoni;Seen as if it were on the palm of one’s hand;Spread before the eyes, in plain sight easy to see or comprehend.;As plain as the nose on your face;0.0
50;ВИДНО ПТИЦУ ПО ПОЛЁТУ;widno ptizu po poljotu;Der Vogel ist am Fluge erkennbar.;Man erkennt den Menschen an seinen Handlungen, an seinem Verhalten.;;0.0;ВИДНО ПТИЦУ ПО ПОЛЁТУ;vidno ptitsu po pol’otu;A bird is seen by its flight.;You can judge a person by his actions and behaviour.;;0.0
51;ВИЛАМИ НА ВОДЕ ПИСАНО;wilami na wode pißano;Mit der Gabel aufs Wasser geschrieben.	;Noch ist unklar, wie sich etw. entwickelt, ob etw. gelingt, in Erfüllung geht.;;0.0;ВИЛАМИ НА ВОДЕ ПИСАНО;vilami na vod’e pisano;Written with a pitchfork on the water.;"It’s uncertain, not defined, vague; it may or may not come off.";It’s still all up in the air;0.0
52;ВИСЕТЬ В ВОЗДУХЕ;wißetj w wosduche;In der Luft hängen.;"Noch nicht entschieden sein; sich in einer ungewissen Lage befinden.";in der Luft hängen;1.0;ВИСЕТЬ В ВОЗДУХЕ;vis’et’ v vozdukh’e;To be hanging in the air.;"To be undecided (said of a question or matter); to be in an uncertain position (said of a person).";To be in the air;0.5
53;ВИСЕТЬ НА ВОЛОСКЕ;wißetj na woloske;An einem Härchen hängen.;Sehr bedroht sein, in einer gefahrvollen Lage befindlich.;an einem seidenen Faden hängen;0.5;ВИСЕТЬ НА ВОЛОСКЕ;vis’et’ na volosk’e;To be hanging on a hair;To be in a perilous state;"To hang by a thread; to hang by a single hair";1.0
54;ВИСЕТЬ НА ТЕЛЕФОНЕ;wißetj na telefone;Am Telefon hängen.;Ein langes Telefongespräch führen.;an der Strippe hängen;0.5;ВИСЕТЬ НА ТЕЛЕФОНЕ;vis’et’ na t’el’efon’e;To be hanging on the telephone.;To talk incessantly on the telephone, to spend hours on the telephone.;To sit on the phone;0.0
55;ВИТАТЬ В ОБЛАКАХ;witatj w oblakach;Sich in den Wolken aufhalten.;"Sich Träumereien hingeben; sich fruchtlosen Phantasien hingeben; nicht auf dem Boden der Tatsachen stehen.";in den Wolken schweben;0.5;ВИТАТЬ В ОБЛАКАХ;vitat’ v oblakakh;To be hovering in the clouds;"To live in a dream world, to indulge in day-dreams not attending to everyday matters; to let one’s thoughts wander";"To be up in the clouds; to go/to be wool-gathering";0.5
56;ВИТЬ ВЕРЁВКИ из кого-либо;witj werjowki (is kowo-libo);Seile aus j-m winden.;"Großen Einfluß auf j-n haben; mit j-m nach Belieben verfahren; j-n dem eigenen Willen unterordnen.";j-n um den kleinen Finger wickeln;0.0;ВИТЬ ВЕРЁВКИ из кого-либо;vit’ v’er’ovki;To plait ropes out of someone.;"To have a strong influence on someone; to have a person entirely subservient to one’s will.";To twist someone around one’s little finger;0.0
57;ВКЛАДЫВАТЬ ДУШУ во что-либо;wkladywatj duschu (wo tschto-Iibo);Die Seele in etw. legen. ;"Sich einer Sache ganz widmen; etw. mit Liebe, Hingabe und Eifer tun.";;0.0;ВКЛАДЫВАТЬ ДУШУ во что-либо;vkladyvat’ dushu;To put one’s soul into something;"To put all one’s efforts into an undertaking; to do something whole-heartedly.";To put one’s heart and soul into something;0.5
58;ВЛЕТЕТЬ В КОПЕЕЧКУ;wletetj w kopejetschku;In die Kopeke fliegen.;Teuer zu stehen kommen.;das reißt / läuft ins Geld;0.0;ВЛЕТЕТЬ В КОПЕЕЧКУ;vl’et’et’ v kop’eyechku;To fly into a little kopeck.;"To involve a great expense; to cost a large sum of money.";To cost a pretty penny;0.5
59;ВЛЮБИТЬСЯ ПО УШИ;wljubitza po uschi;Sich bis an die Ohren verlieben.;Sehr verliebt sein.;bis über beide Ohren verliebt sein;1.0;ВЛЮБИТЬСЯ ПО УШИ;vl’ubittsa po ushy;To fall in love up to one’s ears.;To be deeply enamoured of someone.;To be head over heels in love;0.0
60;ВОГНАТЬ кого-либо В КРАСКУ;wognatj (kowo-libo) w kraßku;J-n in die Farbe treiben.;"J-n zum Erröten bringen; j-n in Verlegenheit bringen.";;0.0;ВОГНАТЬ кого-либо В КРАСКУ;vognat’ v krasku;To drive someone into the dye.;To cause someone to blush from embarrassment.;To put someone to the blush;1.0
61;ВОДИТЬ кого-либо ЗА НОС;woditj (kowo-libo) sa noß;J-n an der Nase führen.;"J-n betrügen / überlisten; ein Versprechen nicht erfüllen.";j-n an der Nase herumführen;1.0;ВОДИТЬ кого-либо ЗА НОС;vodit’ za nos;To lead someone by the nose.;"To deceive, delude, mislead someone; to make promises and not keep them.";"To make a fool of someone; to pull/draw the wool over someone’s eyes; to lead someone on";0.0
62;ВОДОЙ HE РАЗОЛЬЁШЬ;wodoj ne rasoljosch;Selbst mit Wasser treibst du sie nicht auseinander.;"Sie sind sehr eng befreundet; sie sind unzertrennlich.";sie halten zusammen wie die Kletten;0.0;ВОДОЙ HE РАЗОЛЬЁШЬ;vodoy n’e razol’yosh;You couldn’t split them apart with water.;"To be very good friends, close to each other; inseparable from each other; to be always together.";As thick as thieves;0.0
63;ВОДЫ НЕ ЗАМУТИТ;wody ne samutit;Er wird das Wasser nicht trüben.;Er ist sehr bescheiden, sehr ruhig.;er kann kein Wässerchen trüben;1.0;ВОДЫ НЕ ЗАМУТИТ;vodý n’e zamutit;He wouldn’t muddy the water.;"One who has extremely demure expression and manner; one who is quiet, meek, gentle.";"He wouldn’t hurt a fly; he looks as if butter wouldn’t melt in his mouth";0.0
64;ВОЙТИ В ИСТОРИЮ;wojti w ißtoriju;In die Geschichte eingehen.;"Bekannt werden; den Menschen als bedeutsames Ereignis im Gedächtnis bleiben.";in die Geschichte eingehen;1.0;ВОЙТИ В ИСТОРИЮ;voyti v istoriyu;To go down in history.;"To become famous; to be remembered as a remarkable event.";"To make history; to go down in history";0.5
65;ВОЙТИ В КОЛЕЮ;wojti w koleju;In die Fahrspur hineingehen.;"Zur gewohnten Lebensweise zurückkehren; den normalen Verlauf nehmen. ";ins rechte Gleis kommen;0.0;ВОЙТИ В КОЛЕЮ;voyti v kol’eyu;To get into the rut.;"To return to one’s habitual way of life; to settle down into an ordinary way of life; to get back into one’s routine; to return to normal.";To get into a groove;1.0
66;ВОЙТИ В РОЛЬ;wojti w rolj;In die Rolle hineingehen.;In eine neue Arbeit, eine neue Stellung hineinwachsen.;;0.0;ВОЙТИ В РОЛЬ;voyti v rol’;To enter into one’s role.;To become securely and comfortably settled in a new job, position, occupation.;"To begin to feel one’s feet; to enter into one’s role";1.0
67;ВОЛОСЫ СТАНОВЯТСЯ ДЫБОМ;woloßy ßtanowjatza dybom;Die Haare sträuben sich.;J-n erfaßt Entsetzen.;"j-m stehen die Haare zu Berge; j-m sträuben sich die Haare";0.5;ВОЛОСЫ СТАНОВЯТСЯ ДЫБОМ;volosy stanov’atsa dybom;One’s hair stands on end.;One is struck with extreme horror.;One’s hair stands on end;1.0
68;ВОТ ГДЕ СОБАКА ЗАРЫТА;wot gde ßobaka saryta;Da liegt der Hund begraben.;"Das ist die wahre Ursache; das ist der Kern der Angelegenheit.";da liegt der Hund begraben;1.0;ВОТ ГДЕ СОБАКА ЗАРЫТА;vot gd’e sobaka zaryta;Here’s where the dog is buried.;"That’s the main reason, the main point; that’s where the problem lies.";"That’s the heart of the matter; that’s the crux of the matter";0.0
69;ВПИСАТЬ НОВУЮ СТРАНИЦУ во что-либо;wpißatj nowuju ßtranizu (wo tschto-libo);Eine neue Seite in einer Sache schreiben.;Entdeckungen machen, etw. Herausragendes auf einem Gebiet tun.;;0.0;ВПИСАТЬ НОВУЮ СТРАНИЦУ во что-либо;vpisat’ novuyu stranitsu;To write a new page into something;"To make a discovery; to do something outstanding, prominent in some field.";To add a fresh page to something;1.0
70;В ПОДМЁТКИ HE ГОДИТСЯ кому-либо;w podmjodtki ne goditza (komu-libo);Er taugt nicht einmal als Schuhsohle für j-n.;"J-d ist in seinen Eigenschaften beträchtlich schlechter als ein anderer; j-d ist einem anderen unterlegen.";er kann ihm nicht das Wasser reichen;0.0;В ПОДМЁТКИ HE ГОДИТСЯ кому-либо;v podm’otki n’e goditsa;Not fit to be soles of someone’s shoes.;"Someone or something is quite inferior to; not to be compared with, not nearly as good as.";"Not fit to hold a candle to someone; to be not a patch on someone.";0.5
