id,head_ru,transliteration,literal,meaning,equivalents
40,ВЕРТИТСЯ у кого-либо НА ЯЗЫКЕ,v’ertitsa na yazyk’e,It is whirling on someone’s tongue.,On the verge of being uttered; something at the back of one’s mind one wants to say but which is not quite within recall of memory.,To be on the tip of one’s tongue
41,ВЕШАТЬ HOC,v’eshat’ nos,To hang one’s nose.,"To be crest-fallen, discouraged, despondent; to look dejected.",
42,ВЗВЕШИВАТЬ СВОИ СЛОВА,vzv’eshivat’ svoi slova,To weigh one’s words.,To choose or use one’s words with deliberation; to give something a comprehensive evaluation.,To weigh one’s words
43,ВЗДОХНУТЬ СВОБОДНО,vzdokhnut’ svobodno,To breathe freely.,To feel relieved of one’s cares or troubles.,To give a sigh of relief
44,ВЗЯТЬ БЫКА ЗА РОГА,vz’at’ byka za roga,To take the bull by the horns.,To take up a matter vigorously and promptly getting directly to its essence.,To take the bull by the horns
45,ВЗЯТЬ ГОЛЫМИ РУКАМИ,vz’at’ golymi rukami,To take someone or something with one’s bare hands.,"To seize, to take possession of someone or something without much difficulty, without making special effort.",Without a hand’s turn; with one’s bare hands
46,ВЗЯТЬ СЕБЯ В РУКИ,vzyat’ s’eb’a v ruki,To take oneself in one’s hands.,"To rouse oneself to renewed activity; to make a determined effort, to regain one’s normal mental state, to regain one’s self-control.",To take hold of oneself; to take oneself in hand; to pull oneself together
47,ВЗЯТЬ СЛОВО,vz’at’ slovo,To take the word.,To rise to speak in a debate at one’s own request or initiative.,To take the floor
48,ВИДЕТЬ кого-либо НАСКВОЗЬ,vid’et’ naskvoz’,To see through someone.,To know someone well; to be well aware of someone’s thoughts and intentions.,To know someone inside out; to see through someone; to read someone like a book
49,ВИДНО КАК НА ЛАДОНИ,vidno kak na ladoni,Seen as if it were on the palm of one’s hand,"Spread before the eyes, in plain sight easy to see or comprehend.",As plain as the nose on your face
50,ВИДНО ПТИЦУ ПО ПОЛЁТУ,vidno ptitsu po pol’otu,A bird is seen by its flight.,You can judge a person by his actions and behaviour.,
51,ВИЛАМИ НА ВОДЕ ПИСАНО,vilami na vod’e pisano,Written with a pitchfork on the water.,"It’s uncertain, not defined, vague; it may or may not come off.",It’s still all up in the air
52,ВИСЕТЬ В ВОЗДУХЕ,vis’et’ v vozdukh’e,To be hanging in the air.,To be undecided (said of a question or matter); to be in an uncertain position (said of a person).,To be in the air
53,ВИСЕТЬ НА ВОЛОСКЕ,vis’et’ na volosk’e,To be hanging on a hair,To be in a perilous state,To hang by a thread; to hang by a single hair
54,ВИСЕТЬ НА ТЕЛЕФОНЕ,vis’et’ na t’el’efon’e,To be hanging on the telephone.,"To talk incessantly on the telephone, to spend hours on the telephone.",To sit on the phone
55,ВИТАТЬ В ОБЛАКАХ,vitat’ v oblakakh,To be hovering in the clouds,"To live in a dream world, to indulge in day-dreams not attending to everyday matters; to let one’s thoughts wander",To be up in the clouds; to go/to be wool-gathering
56,ВИТЬ ВЕРЁВКИ из кого-либо,vit’ v’er’ovki,To plait ropes out of someone.,To have a strong influence on someone; to have a person entirely subservient to one’s will.,To twist someone around one’s little finger
57,ВКЛАДЫВАТЬ ДУШУ во что-либо,vkladyvat’ dushu,To put one’s soul into something,To put all one’s efforts into an undertaking; to do something whole-heartedly.,To put one’s heart and soul into something
58,ВЛЕТЕТЬ В КОПЕЕЧКУ,vl’et’et’ v kop’eyechku,To fly into a little kopeck.,To involve a great expense; to cost a large sum of money.,To cost a pretty penny
59,ВЛЮБИТЬСЯ ПО УШИ,vl’ubittsa po ushy,To fall in love up to one’s ears.,To be deeply enamoured of someone.,To be head over heels in love
60,ВОГНАТЬ кого-либо В КРАСКУ,vognat’ v krasku,To drive someone into the dye.,To cause someone to blush from embarrassment.,To put someone to the blush
61,ВОДИТЬ кого-либо ЗА НОС,vodit’ za nos,To lead someone by the nose.,"To deceive, delude, mislead someone; to make promises and not keep them.",To make a fool of someone; to pull/draw the wool over someone’s eyes; to lead someone on
62,ВОДОЙ HE РАЗОЛЬЁШЬ,vodoy n’e razol’yosh,You couldn’t split them apart with water.,"To be very good friends, close to each other; inseparable from each other; to be always together.",As thick as thieves
63,ВОДЫ НЕ ЗАМУТИТ,vodý n’e zamutit,He wouldn’t muddy the water.,"One who has extremely demure expression and manner; one who is quiet, meek, gentle.",He wouldn’t hurt a fly; he looks as if butter wouldn’t melt in his mouth
64,ВОЙТИ В ИСТОРИЮ,voyti v istoriyu,To go down in history.,To become famous; to be remembered as a remarkable event.,To make history; to go down in history
65,ВОЙТИ В КОЛЕЮ,voyti v kol’eyu,To get into the rut.,To return to one’s habitual way of life; to settle down into an ordinary way of life; to get back into one’s routine; to return to normal.,To get into a groove
66,ВОЙТИ В РОЛЬ,voyti v rol’,To enter into one’s role.,"To become securely and comfortably settled in a new job, position, occupation.",To begin to feel one’s feet; to enter into one’s role
67,ВОЛОСЫ СТАНОВЯТСЯ ДЫБОМ,volosy stanov’atsa dybom,One’s hair stands on end.,One is struck with extreme horror.,One’s hair stands on end
68,ВОТ ГДЕ СОБАКА ЗАРЫТА,vot gd’e sobaka zaryta,Here’s where the dog is buried.,"That’s the main reason, the main point; that’s where the problem lies.",That’s the heart of the matter; that’s the crux of the matter
69,ВПИСАТЬ НОВУЮ СТРАНИЦУ во что-либо,vpisat’ novuyu stranitsu,To write a new page into something,"To make a discovery; to do something outstanding, prominent in some field.",To add a fresh page to something
70,В ПОДМЁТКИ HE ГОДИТСЯ кому-либо,v podm’otki n’e goditsa,Not fit to be soles of someone’s shoes.,"Someone or something is quite inferior to; not to be compared with, not nearly as good as.",Not fit to hold a candle to someone; to be not a patch on someone.
71,ВРАСТАТЬ КОРНЯМИ,vrastat’ korn’ami,To take root.,To become permanently and firmly established; to become attached to something; to get fully accustomed to something.,
72,ВСТАВАТЬ С ЛЕВОЙ НОГИ,vstavat’s l’evoy nogi,To get up with one’s left foot foremost.,To be in a bad or an irritable state of mind.,To get out of bed on the wrong side
73,ВСТАВАТЬ С ПЕТУХАМИ,vstavat’s p’etukhami,To rise with the cocks.,"To rise very early in the morning, at daybreak.",To rise with the lark/sun
74,ВСТАВЛЯТЬ ПАЛКИ В КОЛЁСА,vstavl’at’ palki v kol’osa,To put sticks in the wheels.,"To deliberately interfere with the execution of a plan, operation, etc.",To put a spoke in someone’s wheel; to throw a spanner in the works; to throw monkey wrenches in the machinery
75,ВСТРЕЧАТЬ В ШТЫКИ,vstr’echat’ v shtyki,To meet someone or something with bayonets.,To give a hostile reception to someone or something.,
76,ВСТУПИТЬ В СТРОЙ,vstupit’ v stroy,To step into formation.,"To come into operation, to become operative.",
77,В УС НЕ ДУТЬ,v us n’e dut’,Not to blow into one’s moustache.,Not to care at all; not to show any sign of emotion.,Not to give a damn/a hang; not to turn a hair
78,ВЫБИВАТЬ у кого-либо ПОЧВУ ИЗ-ПОД НОГ,vybivat’ pochvu is-pod nog,To knock the ground from under someone’s feet.,To deprive someone of his position or role in society; to undermine someone’s confidence in something completely; to disturb someone’s peace of mind.,To cut the ground from under someone’s feet; to take the wind out of someone’s sails
79,ВЫБИТЬ ИЗ КОЛЕИ,vybit’ is kol’ei,To kick someone out of the rut.,To upset someone’s routine; to unsettle someone.,To get someone out of the groove
80,ВЫБИТЬ ИЗ СЕДЛА,vybit’ is s’edla,To knock someone out of the saddle.,To deprive someone of his position or role in society; to undermine someone’s confidence in something completely; to disturb someone’s peace of mind.,
81,ВЫБРОСИТЬ ИЗ ГОЛОВЫ,vybrosit’ iz golovy,To throw something out of one’s head.,To cause to forget; to dismiss from one’s mind; to give up the idea.,To put something out of one’s head.
82,ВЫВОДИТЬ кого-либо ИЗ СЕБЯ,vyvodit’ is s’eb’a,To lead someone out of himself.,"To exasperate, irritate someone.",To drive someone out of his wits/mind; to put someone beside himself
83,ВЫВОДИТЬ ИЗ СТРОЯ,vyvodit’ is stroya,To take out of formation.,"To disable something, to put something out of operation.",
84,ВЫВОДИТЬ кого-либо НА ЧИСТУЮ ВОДУ,vyvodit’ na chistuyu vodu,To conduct someone out onto pure water.,To bring someone’s misdeeds to light; to expose someone.,To show someone in his true colours; to unmask.
85,ВЫЕДЕННОГО ЯЙЦА НЕ СТОИТ,vyyed’ennovo yaytsa n’e stoit,Not worth an empty egg-shell.,"Entirely valueless, worth nothing at all.",Not worth a rap/a farthing/a hill of beans.
86,ВЫЙТИ ИЗ ПЕЛЁНОК,vyyti is p’el’onok,To come out of one’s swaddling-clothes,"To grow up, to become adult, to be on one’s own.",To be out of swaddling-clothes
87,ВЫЙТИ ИЗ СЕБЯ,vyyti is s’eb’a,To come out of oneself.,To be carried away by excitement; to lose control of oneself; to be wrought up.,To lose one’s temper; to fly off the handle.
88,ВЫЙТИ ИЗ СТРОЯ,vyyti is stroya,To step out of formation.,"To be disabled, to become unserviceable; to break down; to be put out of action.",
89,ВЫЙТИ СУХИМ ИЗ ВОДЫ,vyyti sukhim iz vody,To come out of the water dry.,To escape deserved punishment; to come out with one’s reputation unblemished.,To come out unscathed; to get off scot-free.
90,ВЫЛЕТЕТЬ В ТРУБУ,vyl’et’et’ v trubu,To fly through the chimney,"To come to ruin financially, to go bankrupt; to have no money at all.",To go bust/smash.
91,ВЫНЕСТИ что-либо НА СВОИХ ПЛЕЧАХ,vyn’esti na svoikh pl’echakh,To bear something on one’s own shoulders.,To take the whole burden of something; to endure the stress or strain of a difficult undertaking.,To bear the brunt of something
92,ВЫНОСИТЬ COP ИЗ ИЗБЫ,vynosit’ sor iz izby,To carry the rubbish out of one’s hut.,"To let the outside world know about one’s private troubles, grievances, quarrels, conduct that might be regarded as disreputable; to utter abroad affairs not meant for the public ear.",To wash one’s dirty linen in public; to tell tales out of school
93,ВЫРАСТАТЬ В чьих-либо ГЛАЗАХ,vyrastat’ v glazakh,To grow in someone’s eyes.,To rise in someone’s esteem; to grow or improve in someone’s opinion.,
94,ВЫРВАТЬ что-либо С КОРНЕМ,vyrvat’ s korn’em,To tear something out with root.,"To destroy something completely; to eradicate, to extirpate, to uproot something.",To root something out.
95,ВЫСОСАТЬ что-либо ИЗ ПАЛЬЦА,vysosat’ is pal’tsa,To suck something out of one’s finger.,"To allege something which has no foundation in actual fact, absolutely groundless; to fabricate.",To make something up; to spin something out of thin air.
96,ВЫТЯГИВАТЬСЯ В СТРУНКУ,vyt’agivattsa v strunku,To stretch oneself into a string.,To stand stiffly erect; to stand at attention.,
97,ГАДАТЬ НА КОФЕЙНОЙ ГУЩЕ,gadat’ na kof’eynoy gushche,To tell fortunes by coffee ground, To make groundless statements; to make wild guesses.,To tell someone’s fortune from the tea-leaves in his cup
98,ГЛАДИТЬ кого-либо ПО ГОЛОВКЕ,gladit’ po golovk’e,To stroke someone’s little head.,"To show approval, to gratify; to show indulgence towards, to pander to someone.",To pat someone on the back
99,ГЛАДИТЬ кого-либо ПРОТИВ ШЕРСТИ,gladit’ protiv shersti,To stroke someone against his hair.,"To do or say something contrary to someone’s prejudices, opinions, or habits.",To rub/stroke someone the wrong way
100,ГЛАЗА РАЗБЕГАЮТСЯ,glaza razb’egayutsa,One’s eyes are running in different directions.,One doesn’t know what to look at first; one is dazzled by the sight of so many things; one is unable to concentrate on one thing.,
101,ГЛАЗА РАЗГОРЕЛИСЬ,glaza razgor’elis’,One’s eyes have lit up.,One desires something earnestly; one is looking longingly or desiringly at something.,To be dying for
102,ГОВОРИТЬ ПОД РУКУ,govorit’ pod ruku,To speak to someone’s hand.,To say something at the wrong time; to disturb someone when he is concentrating on something; to distract someone by talking.,To put someone off.
103,ГОЛОВА ИДЁТ КРУГОМ,golova id’ot krugom,One’s head is going round.,"Someone has a lot to do, is in a state of bewilderment or confusion being worn out with troubles and worry.",One’s head is spinning; one’s head is in a whirl; one’s head is going round and round
104,ГОЛОДНЫЙ КАК ВОЛК,golodny kak volk,Hungry as a wolf.,Terribly hungry.,Hungry as a hunter
105,ГОРИТ В РУКАХ,gorit v rukakh,It is burning in one’s hands.,"The work is being done quickly, energetically, deftly; the work is going fine.",Someone has clever hands; someone is working like lightning
106,ГОТОВ СКВОЗЬ ЗЕМЛЮ ПРОВАЛИТЬСЯ,gotov skvoz’ z’eml’u provalittsa,Ready to fall through the ground.,One earnestly wishes to disappear; one feels so ashamed or embarrassed that he wishes that the earth would swallow him up.,He wishes the ground would open under him
107,ГУСЕЙ ДРАЗНИТЬ,gus’ey draznit’,To tease the geese.,"To irritate, to annoy someone (often without purpose or reason); to provoke ill feelings.",
108,ДАВАТЬ кому-либо СДАЧИ,davat’ zdachi,To give someone the change.,To retaliate as vigorously as one is attacked; to give as good as one got; to return insult for insult.,To answer in kind
109,ДАЛЬШЕ ЕХАТЬ НЕКУДА,dal’she yekhat’ n’ekuda,You can’t go farther.,Things couldn’t be worse; that’s the end of it; that’s the limit.,
110,ДВА САПОГА ПАРА,dva sapoga para,Two boots make a pair.,"They are alike; (usually with reference to disposition, tastes, conduct, etc.); they are well matched; they deserve each other; one is no better than the other.",They make a pair; birds of one feather; not a pin to choose between them
111,ДЕЛАТЬ ИЗ МУХИ СЛОНА,d’elat’ iz mukhi slona,To make an elephant out of a fly.,To exaggerate the importance of a small matter.,To make a mountain out of a molehill
112,ДЕЛАТЬ ПОГОДУ,d’elat’ pogodu,To make the weather.,"To determine the course of events, to affect a matter directly; to have a decisive influence on a matter.",
113,ДЕЛАТЬ что-либо С ЗАКРЫТЫМИ ГЛАЗАМИ,d’elat’ z zakrytymi glazami,To do something with one’s eyes closed,"To do something without thinking, carelessly, rashly.",
114,ДЕЛАТЬ что-либо СПУСТЯ РУКАВА,d’elat’ spust’a rukava,To do something with one’s sleeves lowered.,To do something carelessly without paying attention to it; to fail to tend properly to affairs; to do something in a slipshod manner.,To let things slide
115,ДЕЛИТЬ ШКУРУ НЕУБИТОГО МЕДВЕДЯ,d’elit’ shkuru n’eubitovo m’edv’ed’a,To divide the skin of an unkilled bear. ,To anticipate too confidently the possession of something that one may never receive; to make plans which depend on events that may not happen.,To count one’s chickens before they are hatched; to sell the bear’s skin before one has caught the bear
116,ДЕНЕГ КУРЫ HE КЛЮЮТ,d’en’eg kury n’e kl’uyut,The hens don’t peck at the money.,One has plenty of money.,Rolling in money
117,ДЕРЖАТЬ В ЧЁРНОМ ТЕЛЕ,d’erzhat’ v chornom t’el’e,To keep in a black body.,"To ill-treat, to treat someone roughly; to hold in subjection.",
118,ДЕРЖАТЬ КАМЕНЬ ЗА ПАЗУХОЙ,derzhat’ kam’en’ za pazukhoy,To keep a stone inside one’s shirt.,To secretly bear a grudge against someone; to nurse a grievance; to harbour thoughts of revenge; to have evil intentions.,
119,ДЕРЖАТЬ HOC ПО ВЕТРУ,d’erzhat’ nos po v’etru,To keep one’s nose to the wind.,"To adapt to circumstances, unscrupulously altering one’s convictions or behaviour; to adjust to the situation.",To trim one’s sails to the wind
120,ДЕРЖАТЬ СЕБЯ В РУКАХ,derzhat’ s’eb’a v rukakh,To keep oneself in one’s hands.,To restrain oneself; to preserve one’s control.,To hold/keep oneself in check; to keep oneself in hand.
121,ДЕРЖАТЬ УХО ВОСТРО,d’erzhat’ ukho vostro,To keep one’s ear sharp.,"To behave circumspectly, to act with caution; to be on guard; to mistrust someone.",To watch one’s step; to be on the qui vive; to keep one’s eyes peeled.
122,ДЕРЖАТЬ ЯЗЫК ЗА ЗУБАМИ,d’erzhat’ yazyk za zubami,To hold one’s tongue behind one’s teeth. ,"To keep silent, not to blab; to be cautious in what one says.",To hold one’s tongue; to keep one’s breath to cool one’s porridge
123,ДЕРЖАТЬСЯ В ТЕНИ,d’erzhattsa v t’eni,To hold to the shade.,To behave so as to remain unnoticed.,To stay in the background.
124,ДЛИННЫЙ ЯЗЫК,dlinny yazyk,A long tongue.,"Talkative, unable to hold one’s tongue; a blabber.",To have a long tongue; to wag one’s tongue.
125,ДОВОДИТЬ ДО БЕЛОГО КАЛЕНИЯ,dovodit’ do b’elovo kal’eniya,To bring to a white heat.,"To drive someone to a frenzy, to infuriate, to rouse to fury; to make someone lose his self-control.",
126,ДОЛГАЯ ПЕСНЯ,dolgaya p’esn’a,A long song.,Something that cannot be done or explained quickly; something that takes a long time to be accomplished; a drawn out affair.,A long story.
127,ДОСТАТЬ ИЗ-ПОД ЗЕМЛИ,dostat’ is-pod z’emli,To get from under the ground.,To get something no matter how difficult.,To go to the end of the earth to get something.
128,ДО УПАДУ,do upadu,Till one falls down.,"To the point of exhaustion, till one drops.",
129,ДОХОДИТЬ ДО чьих-либо УШЕЙ,dokhodit’ do ushey,To come to someone’s ears.,To become known to someone.,To reach someone’s ears.
130,ДРОЖИТ КАК ОСИНОВЫЙ ЛИСТ,drozhit kak osinovy list,One shakes like an aspen leaf.,One trembles violently (usually with excitement or fear).,To shake/quake like an aspen leaf.
131,ДУША НАРАСПАШКУ,dusha naraspashku,One’s soul is open (unbuttoned).,"To be frank, sincere candid, straightforward.",Open-hearted.
132,ДУША HE НА МЕСТЕ,dusha n’e na m’est’e,One’s soul is not in its place.,To be anxious; to feel uneasy.,
133,ДУША УШЛА В ПЯТКИ,ducha ushla v p’atki,One’s soul has gone into one’s heels.,Someone is greatly alarmed by what is happening or anticipated to happen; terribly frightened.,One’s heart sank into one’s boots; to have one’s heart in one’s mouth.
134,ДЫРЯВАЯ ГОЛОВА,dyr’avaya golova,A holey head.,"Someone who has a very poor memory; someone who is forgetful, absent-minded.",To have a head like a sieve.
135,ЕСТЬ ЕЩЁ ПОРОХ В ПОРОХОВНИЦАХ,yest’ yeshcho porokh v porokhovnitsakh,There is still some gunpowder in the powder-flasks.,Still full of vim and vigour; still able to fight or to do something important.,We are not licked yet
136,ЕХАТЬ ЗАЙЦЕМ,yekhat’ zaytsem,To ride as a hare.,To travel without paying for a ticket.,
137,ЖДАТЬ У МОРЯ ПОГОДЫ,zhdat’ u mor’a pogody,To wait by the sea for the weather.,To indulge in vain hopes without taking any steps to realize them; to waste one’s time neglecting one’s opportunities.,To let the grass grow under one’s feet.
138,ЖИТЬ ДУША В ДУШУ,zhit’ dusha v dushu,To live soul and soul together.,"To live in peace, harmony, concord or perfect amity with someone.",
139,ЖИТЬ КАК КОШКА С СОБАКОЙ,zhit’ kak koshka s sobakoy,To live like a cat and a dog.,"To be constantly snapping, bickering and quarrelling.",To fight like cats and dogs.
140,ЖИТЬ КАК НА ВУЛКАНЕ,zhit’ kak na vulkan’e,To live as on a volcano.,To be in constant anticipation of trouble.,To sit on a powder-keg; to be living on the edge of a volcano; to be sitting on a volcano
141,ЖИТЬ НА ШИРОКУЮ НОГУ,zhit’ na shirokuyu nogu,To live on a broad foot.,"To live in luxury; to live sumptuously, sparing no expense.",To live like a lord; to live in grand style
142,ЖИТЬ ПРИПЕВАЮЧИ,zhit’ prip’evayuchi,To live humming a tune.,To live in comfortable circumstances; to live happily.,To be in clover
143,ЗАБЛУДИТЬСЯ В ТРЁХ СОСНАХ,zabludittsa v tr’okh sosnakh,To lose one’s way among three pines. ,To fail to find a solution to a simple problem; to fail to comprehend something elementary. ,To lose one’s way in broad daylight.
144,ЗАВАРИТЬ КАШУ, zavarit’ kashu,To cook kasha (a dish of cooked grain or groats),"To start a complicated, risky or troublesome affair.",To stir up trouble; to make a mess of something.
145,ЗАГЛЯДЫВАТЬ В ДУШУ,zagl’adyvat’ v dushu,To peep into someone’s soul,To try to fathom someone’s innermost thoughts; to try to find out what is in someone else’s heart.,
146,ЗАГОВАРИВАТЬ ЗУБЫ,zagovarivat’ zuby,To talk someone’s teeth.,To evade the issue with irrelevant talk.,To put someone off with fair words.
147,ЗАДАТЬ ПЕРЦУ,zadat’ p’ertsu,To give pepper.,To rate someone soundly and severely; to punish someone.,To give it hot to someone; to make it hot for someone.
148,ЗАДЕТЬ ЗА ЖИВОЕ,zad’et’ za zhivoye,To graze a raw place.,"To excite greatly, to thrill; to stir someone’s self-esteem or pride.",To cut/sting to the quick
149,ЗАДИРАТЬ HOC,zadirat’ nos,To lift up one’s nose.,"To act in a superior and affected manner; to become puffed up, conceited.",To turn up one’s nose; to put on airs; to cock one’s nose.
150,ЗАЙТИ В ТУПИК,zayti v tupik,To come into a blind alley.,To find oneself in a desperate position.,To reach a deadlock
151,ЗАКИНУТЬ УДОЧКУ,zakinut’ udochku,To cast a line.,To make an indirect reference to something in order to find out more about it; to drop a hint by way of suggestion.,To put a line out; to put forth/send out a feeler.
