,id,head_ru,transliteration,literal,meaning,equivalents,transparency
343,344,ОТКРЫВАТЬ кому-либо ДУШУ/СЕРДЦЕ,otkrywatj (komu-libo) duschu / ßerze,J-m gegenüber seine Seele / sein Herz öffnen.,Über seine geheimsten Gedanken und Gefühle offen reden; sich j-m anvertrauen.,j-m sein Herz ausschütteln,0.5
344,345,ОТКРЫВАТЬ СВОИ КАРТЫ,otkrywatj ßwoi karty,Seine Karten aufdecken.,"Seine Gedanken, seine Pläne offen darlegen.",seine Karten offen auf den Tisch legen,0.5
359,360,ПЛАВАТЬ КАК ТОПОР,plawatj kak topor,Wie eine Axt schwimmen.,Sehr schlecht schwimmen; nicht schwimmen können. ,schwimmen wie eine bleierne Ente,0.5
360,361,ПЛАКАТЬСЯ В ЖИЛЕТКУ,plakatza w shiletku,J-m in die Weste weinen.,"J-m seinen Kummer klagen, um Mitleid zu erregen.",sich an j-s Schulter ausweinen,0.5
361,362,ПЛАТИТЬ ТОЙ ЖЕ МОНЕТОЙ,platitj toj she monetoj,Mit gleicher Münze zahlen.,Etw. gebührend beantworten.,mit gleicher Münze heimzahlen; Gleiches mit Gleichem vergelten,0.5
363,364,ПЛЕСТИСЬ КАК ЧЕРЕПАХА,pleßtißj kak tscherepacha,Sich wie eine Schildkröte dahinschleppen.,Ganz langsam gehen; schleichen. ,im Schneckentempo gehen,0.5
364,365,ПЛЫТЬ ПО ТЕЧЕНИЮ,plytj po tetscheniju,Mit der Strömung schwimmen.,Die allgemeine Meinung vertreten; sich den Umstanden anpassen.,mit dem Strom schwimmen,0.5
365,366,ПОБЫВАТЬ В чьей-либо ШКУРЕ,pobywatj w (tschjej-libo) schkure,Sich in j-s Haut aufhalten.,Sich in j-s Lage befinden (meist einer unangenehmen).,in j-s Haut stecken,0.5
375,376,ПОДНЕСТИ ПИЛЮЛЮ,podneßti piljulju,Eine Pille reichen.,"Etw. Unangenehmes, Beleidigendes sagen oder tun. ",j-m eine bittere Pille geben,0.5
377,378,ПОД НОСОМ у кого-либо,pod noßom (u kowo-Iibo),Unter der Nase bei j-m.,In unmittelbarer Nähe.,vor der Nase; vor j-s Augen,0.5
378,379,ПОДНЯТЬ ВСЕХ НА НОГИ,podnjatj wßech na nogi,Alle auf die Füße stellen.,Zur Tätigkeit anhalten; in Bewegung bringen.,alle auf die Beine bringen,0.5
380,381,ПОДРЕЗАТЬ кому-либо КРЫЛЬЯ,podresatj (komu-libo) krylja,J-m die Flügel beschneiden.,"J-s Freiheit einschränken; j-s Glauben an die eigene Kraft, an die eigenen Möglichkeiten erschüttern.",j-m die Flügel stutzen,0.5
383,384,ПОЙМАТЬ НА УДОЧКУ,pojmatj na udotschku,Mit der Angel fangen.,"J-n überlisten, verlocken.",j-n an der Angel haben,0.5
385,386,ПОКАЗАТЬ КОГТИ,pokasatj kogti,Die Krallen zeigen.,"J-m gegenüber deutlich machen, daß man ihm eine Abfuhr erteilen kann; eine drohende Haltung annehmen.",die Krallen zeigen; die Zähne zeigen,0.5
389,390,ПОЛОЖА РУКУ НА СЕРДЦЕ,polosha ruku na ßerze,Die Hand aufs Herz legend.,Aufrichtig sein; die Wahrheit sagen.,Hand aufs Herz,0.5
391,392,ПОЛОЖИТЬ кого-либо НА ОБЕ ЛОПАТКИ,poloshitj (kowo-libo) na obe lopatki,J-n auf beide Schulterblätter legen.,"J-n im Streit, im Wettkampf besiegen; j-n bezwingen.",j-n auf die Schultern legen,0.5
395,396,ПОПАСТЬ В ПЕРЕПЛЁТ,popaßtj w perepljot,In den Einband geraten.,"Sich in einer komplizierten, gefährlichen oder unangenehmen Lage befinden.",in die Klemme geraten,0.5
396,397,ПОПАСТЬ В ТОЧКУ,popaßtj w totschku,Den Punkt treffen.,"Gerade das tun oder sagen, was in einem bestimmten Moment erforderlich ist, was erwartet wird.",den Nagel auf den Kopf treffen; ins Schwarze treffen,0.5
405,406,ПОСЛЕДНИЙ КРИК МОДЫ,poßlednij krik mody,Der letzte Schrei der Mode.,Eine modische Neuheit.,der letzte Schrei,0.5
415,416,ПРИБИРАТЬ К РУКАМ,pribiratj k rukam,In die Hände nehmen.,Etw. an sich reißen; sich etw. aneignen.,die Hand auf etw. legen; sich etw. unter den Nagel reißen,0.5
417,418,ПРИЛОЖИТЬ РУКУ к чему-либо,priloshitj ruku (k tschemu-libo),Seine Hand zu etw. legen.,Sich an etw. (meist Ungebührlichem) beteiligen.,die Hand bei etw. im Spiel haben,0.5
418,419,ПРИНИМАТЬ ЗА ЧИСТУЮ МОНЕТУ,prinimatj sa tschißtuju monetu,Für reine Münze nehmen.,Etw. als Wahrheit ansehen; etw. ernst nehmen.,etw. für bare Münze nehmen,0.5
420,421,ПРИТЯНУТЬ что-либо ЗА УШИ,pritjanutj (tschto-libo) sa uschi,Etw. an den Ohren heranziehen.,"Etw. ohne ausreichenden Grund, ungerechtfertigt anführen.",etw. an den Haaren herbeiziehen,0.5
422,423,ПРОВАЛИТЬСЯ С ТРЕСКОМ,prowalitza ß treßkom,Mit großem Krach durchfallen.,Einen schmachvollen Mißerfolg erleiden.,mit Pauken und Trompeten durchfallen,0.5
423,424,ПРОГЛОТИТЬ ПИЛЮЛЮ,proglotitj piljulju,Die Pille schlucken.,Schweigend eine Kränkung hinnehmen.,die bittere Pille schlucken,0.5
425,426,ПРОЖУЖЖАТЬ ВСЕ УШИ,proshushshatj wße uschi,J-m in die Ohren vollsummen.,J-n durch beständiges Reden über ein und dasselbe langweilen.,j-m die Ohren vollreden,0.5
426,427,ПРОЙТИ КРАСНОЙ НИТЬЮ,projti kraßnoj nitju,Als roter Faden durchlaufen.,"Das Wesentliche, der Leitgedanke von etw. sein.",sich wie ein roter Faden durch etw. ziehen,0.5
428,429,ПРОЙТИСЬ ПО чьему-либо АДРЕСУ,projtißj po (tschjemu-libo) adreßu,An j-s Adresse gehen.,"Sich über j-n mißbilligend, spöttisch äußern.",an j-s Adresse gerichtet sein,0.5
432,433,ПУД СОЛИ СЪЕСТЬ с кем-либо,pud ßoli ßjeßtj (ß kem-libo),Ein Pud Salz mit j-m gegessen haben.,Lange Zeit miteinander leben.,einen Scheffel Salz mit j-m essen,0.5
433,434,ПУСКАТЬ КОЗЛА В ОГОРОД,pußkatj kosla w ogorod,Den Ziegenbock in den Garten lassen.,"J-n dorthin lassen, wo er Schaden anrichten kann.",den Bock zum Gärtner machen,0.5
434,435,ПУСКАТЬ кому-либо ПЫЛЬ В ГЛАЗА,pußkatj (komu-libo) pylj w glasa,J-m Staub in die Augen schleudern.,Sich j-m in beschönigender Weise darstellen; eine falsche Vorstellung über sich bei j-m wecken.,j-m Sand in die Augen streuen,0.5
439,440,РАЗВЕСИТЬ УШИ,rasweßitj uschi,Die Ohren ausbreiten.,"Aufmerksam, vertrauensvoll lauschen; Faseleien glauben.",ganz Ohr sein,0.5
440,441,РАЗВЯЗАТЬ кому-либо РУКИ,raswjasatj (komu-libo) ruki,J-m die Hände entfesseln.,"J-m völlige Freiheit geben, etw. zu tun.",j-m freie Hand lassen,0.5
443,444,РАСХЛЕБЫВАТЬ КАШУ,raßchljobywatj kaschu,Den Brei auslöffeln.,"Eine komplizierte, unangenehme Sache erledigen.",die Suppe auslöffeln,0.5
445,446,РВАТЬ НА СЕБЕ ВОЛОСЫ,rwatj na ßebe woloßy,Sich die Haare ausreißen.,In Verzweiflung geraten; sich sehr ärgern über sich selbst.,sich die Haare raufen,0.5
447,448,РЕВЕТЬ БЕЛУГОЙ,rewetj belugoj,Wie ein Hausen brüllen., Wütend schreien; laut weinen.,wie am Spieß brüllen,0.5
448,449,РОДИТЬСЯ В СОРОЧКЕ,roditza w ßorotschke,Im Hemd geboren werden.,"Immer Erfolg haben, ein Glückspilz sein.",unter einem günstigen Stern geboren sein; ein Sonntagskind sein,0.5
449,450,РОДИТЬСЯ ПОД СЧАСТЛИВОЙ ЗВЕЗДОЙ,roditza pod stschaßliwoj swesdoj,Unter einem glücklichen Stern geboren werden.,Immer Erfolg haben; ein Glückspilz sein. ,unter einem günstigen Stern geboren sein,0.5
451,452,"РУБИТЬ СУК, НА КОТОРОМ СИДИШЬ","rubitj ßuk, na kotorom ßidisch","Den Ast abhauen, auf dem du sitzst.",Sich selbst durch sein Handeln schaden.,"den Ast absägen, auf dem man sitzt",0.5
456,457,РУКИ ЧЕШУТСЯ,ruki tscheschutza,Die Hände jucken.,"J-d verspürt den starken Wunsch, etw. zu tun, sich mit etw. zu beschäftigen.",es juckt j-m in den Fingern,0.5
459,460,САДИТЬСЯ НА ЛЮБИМОГО КОНЬКА,ßaditza na ljubimowo konjka,Sich auf sein Lieblingspferd setzen.,Sich über sein Lieblingsthema verbreiten.,sein Steckenpferd reiten,0.5
464,465,СБРАСЫВАТЬ МАСКУ,sbraßywatj maßku,Die Maske abwerfen.,"Sein wahres Gesicht zeigen; aufhören, sich zu verstellen.",die Maske fallen lassen,0.5
467,468,СВОРОТИТЬ ГОРЫ,ßworotitj gory,Berge fortschieben.,"Etw. Bedeutendes tun, das große Anstrengungen fordert.",Berge versetzen,0.5
468,469,СВЯЗАТЬ кого-либо ПО РУКАМ И НОГАМ,ßwjasatj (kowo-libo) po rukam i nogam,J-n an Händen und Füßen binden.,J-m die Handlungsfreiheit nehmen; j-s Verhalten von Bedingungen abhängig machen.,j-m sind die Hände gebunden,0.5
470,471,СГОРАТЬ CO СТЫДА,sgoratj ßo ßtyda,Vor Scham glühen.,Sich sehr schämen.,vor Scham vergehen,0.5
476,477,СЕРДЦЕ/ДУША РАЗРЫВАЕТСЯ НА ЧАСТИ,ßerze / duscha rasrywajetza na tschaßti,Das Herz / die Seele wird zerrissen.,"J-d empfindet tiefes Leid, überwindet etw. schwer.",es zerreißt j-m das Herz,0.5
477,478,СЕСТЬ В ЛУЖУ,ßeßtj w lushu,Sich in die Pfütze setzen.,"Sich in eine dumme, lächerliche Situation begeben.",sich in die Tinte setzen,0.5
479,480,СЖЕЧЬ КОРАБЛИ,shshetsch korabli,Die Schiffe verbrennen.,Entschieden mit der Vergangenheit brechen; die Rückkehr zu Früherem unmöglich machen.,alle Brücken hinter sich abbrechen,0.5
481,482,СИДЕТЬ НА ЧЕМОДАНАХ,ßidetj na tschemodanach,Auf den Koffern sitzen.,Alles gepackt haben und auf die Abreise warten.,auf (den) gepackten Koffern sitzen,0.5
482,483,СИДЕТЬ СЛОЖА РУКИ,ßidetj ßlosha ruki,Die Hände zusammenlegend dasitzen.,"Nichts tun, untätig sein.",Däumchen drehen; die Hände in den Schoß legen,0.5
484,485,СКОЛЬЗИТЬ ПО ПОВЕРХНОСТИ,ßkoljsitj po powerchnoßti,Auf der Oberfläche gleiten.,Nicht in das Wesen von etw. eindringen; nur das Äußere berühren.,an der Oberfläche bleiben,0.5
486,487,СЛАБАЯ СТРУНКА,ßlabaja ßtrunka,Die schwache Saite.,"Die empfindliche, leicht verwundbare Stelle des Charakters, an der j-d leicht zu treffen ist.",die schwache Stelle,0.5
491,492,С ЛУНЫ СВАЛИЛСЯ,ß luny ßwalilßja,Vom Mond gefallen. ,"Er versteht nicht, was offensichtlich allen verständlich ist.",j-d kommt vom Mond,0.5
493,494,СЛЮНКИ ТЕКУТ,ßljunki tekut,Der Speichel fließt.,"J-d verspürt den sehnlichen Wunsch, etw. (meist sehr Schmackhaftes) zu probieren.",j-m läuft das Wasser im Mund zusammen,0.5
