,id,head_ru,transliteration,literal,meaning,equivalents,transparency
94,95,ВЫСОСАТЬ что-либо ИЗ ПАЛЬЦА,wyßoßatj (tschto-libo) is paljza,Etw. aus dem Finger saugen.,Elw. ohne ausreichende Begründung behaupten; etw. erfinden.,sich etw. aus den Fingern saugen,1.0
96,97,ГАДАТЬ НА КОФЕЙНОЙ ГУЩЕ,gadatj na kofejnoj gustsche,Aus dem Kaffeesatz wahrsagen.,Unbegründete Voraussagen machen.,aus dem Kaffeesatz wahrsagen,1.0
103,104,ГОЛОДНЫЙ КАК ВОЛК,golodnyj kak wolk,Hungrig wie ein Wolf.,Sehr hungrig.,hungrig wie ein Wolf,1.0
124,125,ДОВОДИТЬ кого-либо ДО БЕЛОГО КАЛЕНИЯ,dowoditj (kowo-libo) do belowo kalenija,Zur Weißglut bringen,j-m die Selbstbeherrschung rauben,j-n zur Weißglut bringen,1.0
127,128,ДО УПАДУ,do upadu,Bis zum Umfallen.,Bis zu völliger Erschöpfung.,bis zum Umfallen,1.0
129,130,ДРОЖИТ КАК ОСИНОВЫЙ ЛИСТ,droshit kak oßinowyi lißt,Er zittert wie ein Espenblatt.,Er ist sehr stark erregt (vor Furcht). ,er zittert wie Espenlaub,1.0
138,139,ЖИТЬ КАК КОШКА С СОБАКОЙ,shitj kak koschka ß ßobakoj,Wie die Katze mit dem Hund leben.,In ständiger Feindschaft leben; sich ständig zanken.,wie Hund und Katze miteinander leben,1.0
153,154,ЗАКРЫВАТЬ на что-либо ГЛАЗА,sakrywatj (na tschto-libo) glasa,Einer Sache gegenüber die Augen verschließen. ,Absichtlich einer Sache keine Aufmerksamkeit widmen.,die Augen vor etw. verschließen,1.0
169,170,ИГРАТЬ ПЕРВУЮ СКРИПКУ,igratj perwuju ßkripku,Die erste Geige spielen.,Eine führende Rolle in einem Kreis oder bei einer Sache spielen.,die erste Geige spielen,1.0
170,171,ИГРАТЬ С ОГНЁМ,igratj ß ognjom,Mit dem Feuer spielen.,"Unvorsichtig handeln, ohne an die Folgen zu denken.",mit dem Feuer spielen,1.0
181,182,ИМЕТЬ ВЕС,imetj weß ,Gewicht haben.,Einfluß haben; Autorität besitzen.,Gewicht haben,1.0
183,184,ИСКАТЬ ВЧЕРАШНИЙ ДЕНЬ,ißkatj wtscheraschnij denj,Den gestrigen Tag suchen.,Etw. unwiederbringlich Vergangenes zu finden hoffen.,den gestrigen Tag suchen,1.0
199,200,КАК ДВАЖДЫ ДВА ЧЕТЫРЕ,kak dwashdy dwa tschetyre,Wie zweimal zwei vier ist.,"Völlig klar, unumstritten.","so, wie zweimal zwei vier ist",1.0
219,220,КАМНЯ НА КАМНЕ HE ОСТАВИТЬ,kamnja na kamne ne oßtawitj,Einen Stein nicht auf dem (anderen) Stein lassen.,"Etw. scharf kritisieren, kein Argument gelten lassen.",keinen Stein auf dem anderen lassen,1.0
231,232,КРАСИВЫЙ ЖЕСТ,kraßiwyj sheßt,Eine schöne Geste.,"Eine berechnend ausgeführte Handlung, durch die ein guter Eindruck erweckt werden soll.",eine schöne Geste,1.0
232,233,КРАСНЫЙ КАК РАК,kraßnyj kak rak,Rot wie ein Krebs.,"J-d hat intensive Gesichtsröte, besonders durch starke Erregung oder Scham.",krebsrot,1.0
233,234,КРЕПКИЙ ОРЕШЕК,krepkij oreschek,Eine harte Nuß.,Eine schwer lösbare Aufgabe: ein schwer zugänglicher Mensch.,eine harte Nuß; ein harter Brocken,1.0
235,236,КРОВЬ С МОЛОКОМ,krowj ß molokom,Blut mit Milch.,Ein gesunder Mensch mit prächtiger Gesichtsfarbe.,Milch und Blut,1.0
238,239,КУПИТЬ КОТА В МЕШКЕ,kupitj kota w meschke,Den Kater im Sack kaufen.,"Etw. erwerben, ohne über dessen Eigenschaften unterrichtet zu sein.",die Katze im Sack kaufen,1.0
253,254,ЛОМАТЬ ГОЛОВУ над чем-либо,lomatj golowu (nad tschem-libo),Den Kopf über etw. zerbrechen.,Angestrengt nachdenken; etw. Kompliziertes verstehen wollen.,sich den Kopf über etw. zerbrechen,1.0
256,257,ЛОПНУТЬ КАК МЫЛЬНЫЙ ПУЗЫРЬ,lopnutj kak myljnyj pusyrj,Wie eine Seifenblase zerplatzen.,Etw. das keiner ernsten Prüfung standhält.,wie eine Seifenblase zerplatzen,1.0
260,261,МЕДВЕЖЬЯ УСЛУГА,medweshja ußluga,Ein Bärendienst.,"Ungeschickte Hilfe; ein ungewollt schlechter, zweifelhafter Dienst.",ein Bärendienst,1.0
265,266,МНОГО ВОДЫ УТЕКЛО,mnogo wody uteklo,Viel Wasser ist (seither) geflossen. ,Viel Zeit ist vergangen: es hat sich viel geändert,seitdem ist schon viel Wasser hinuntergeflossen,1.0
277,278,НАВОСТРИТЬ УШИ,nawoßtritj uschi,Die Ohren spitzen.,Mit gespannter Aufmerksamkeit zuhören; lauschen.,die Ohren spitzen,1.0
286,287,НА ЛБУ НАПИСАНО,na lbu napißano,Auf der Stirn geschrieben. ,J-m etw. sofort ansehen.,etw. steht j-m auf der Stirn geschrieben,1.0
299,300,НЕ ВЫХОДИТ ИЗ ГОЛОВЫ,ne wychodit is golowy,Es geht nicht aus j-s Kopf.,Immer an etw. Bestimmtes denken müssen.,etw. geht j-m nicht aus dem Kopf,1.0
302,303,НЕМ КАК РЫБА,nem kak ryba,Stumm wie ein Fisch.,"J-d bewahrt Schweigen, verrät kein Geheimnis.",stumm wie ein Fisch,1.0
305,306,НЕ НЮХАТЬ ПОРОХУ,ne njuchatj porochu,Kein Schießpulver riechen.,Noch nicht im Krieg gewesen sein.,noch kein Pulver gerochen haben,1.0
319,320,НИ РЫБА НИ МЯСО,ni ryba ni mjaßo,Weder Fisch noch Fleisch.,Nichts Bestimmtes (meist von einer Person),weder Fisch noch Fleisch,1.0
326,327,ОБЕЩАТЬ ЗОЛОТЫЕ ГОРЫ,obestschatj solotyje gory,Goldene Berge versprechen., J-m große Versprechungen machen. ,j-m goldene Berge versprechen,1.0
336,337,ОПУСТИТЬ РУКИ,opußtitj ruki,Die Hände sinken lassen.,"Jedes Interesse an etw, verlieren; aus Verzweiflung untätig werden.",die Hände sinken lassen,1.0
342,343,ОТКРЫВАТЬ кому-либо ГЛАЗА на кого-либо/что-либо,otkrywatj (komu-libo) glasa (na kowo-libo / tschto-libo),J-m die Augen für j-n oder etw. öffnen.,"J-m helfen, die Lage richtig einzuschätzen; j-n aufklären.",j-m die Augen öffnen,1.0
350,351,ПАЛЬЧИКИ ОБЛИЖЕШЬ,paltschiki oblishesch,Die Fingerchen wirst du dir ablecken.,Von etw. sehr Schmackhaftem.,danach möchte man sich die Finger ablecken,1.0
361,362,ПЛАТИТЬ ТОЙ ЖЕ МОНЕТОЙ,platitj toj she monetoj,Mit gleicher Münze zahlen.,Etw. gebührend beantworten.,mit gleicher Münze heimzahlen; Gleiches mit Gleichem vergelten,1.0
372,373,ПОДЖАТЬ ХВОСТ,podshatj chwoßt,Den Schwanz einziehen.,Klein beigeben; bescheidener werden,den Schwanz einziehen,1.0
373,374,ПОДЛИТЬ МАСЛА В ОГОНЬ,podlitj maßla w ogonj,Öl ins Feuer gießen.,Die Beziehungen verschärfen; den Zorn noch mehr entfachen; den Streit schüren.,Öl ins Feuer gießen,1.0
377,378,ПОД НОСОМ у кого-либо,pod noßom (u kowo-Iibo),Unter der Nase bei j-m.,In unmittelbarer Nähe.,vor der Nase; vor j-s Augen,1.0
382,383,ПОЖИНАТЬ ПЛОДЫ,poshinatj plody,Die Früchte ernten.,Etw. ausnützen; vorliegende Ergebnisse verwenden.,die Früchte ernten,1.0
385,386,ПОКАЗАТЬ КОГТИ,pokasatj kogti,Die Krallen zeigen.,"J-m gegenüber deutlich machen, daß man ihm eine Abfuhr erteilen kann; eine drohende Haltung annehmen.",die Krallen zeigen; die Zähne zeigen,1.0
394,395,ПО ПАЛЬЦАМ МОЖНО СОСЧИТАТЬ,po paljzam moshno ßoßtschitatj,Man kann es an den Fingern zusammenzählen. ,(Es sind) sehr wenige. ,"j-n, etw. an den Fingern abzählen",1.0
402,403,ПОРОХУ НЕ ВЫДУМАЕТ,porochu ne wydumajet,Er wird das Pulver nicht erfinden.,Er ist reichlich dumm; mit ihm ist es nicht weit her.,er hat das Pulver nicht erfunden,1.0
410,411,ПОСТАВИТЬ ВСЁ НА КАРТУ,poßtawitj wßjo na kartu,Alles auf die Karte setzen.,"Ein Risiko, eine Gefahr auf sich nehmen, in der Hoffnung, dadurch etw. Bestimmtes zu erreichen.",alles auf eine Karte setzen,1.0
414,415,ПОЧИВАТЬ НА ЛАВРАХ,potschiwatj na lawrach,Sich auf den Lorbeeren ausruhen.,Sich mit dem Erreichten zufriedengeben.,sich auf seinen Lorbeeren ausruhen,1.0
421,422,ПРОБНЫЙ ШАР,probnyj schar,Versuchsballon.,Verfahren zur Klärung eines Sachverhaltes.,ein Versuchsballon,1.0
442,443,РАЗРЯДИТЬ АТМОСФЕРУ,rasrjaditj atmoßferu,Die Atmosphäre entspannen.,An Spannung nachlassen; eine Atmosphäre für ruhige Erörterungen schaffen.,die Atmosphäre entspannen,1.0
458,459,РЫТЬ ЯМУ кому-либо,rytj jamu (komu-libo),J-m eine Grube graben.,"Ränke schmieden, intrigieren.",j-m eine Grube graben,1.0
465,466,СВЕТЛАЯ ГОЛОВА,ßwetlaja golowa,Ein heller Kopf.,"Ein sehr kluger, logisch denkender Mensch.",ein heller Kopf,1.0
480,481,СИДЕТЬ МЕЖДУ ДВУХ СТУЛЬЕВ,ßidetj meshdu dwuch ßtuljew,Zwischen zwei Stühlen sitzen.,"Gleichzeitig zwei verschiedene, unversöhnliche Standpunkte in etw. vertreten; sich in seinem Verhalten von  divergierenden Meinungen leiten lassen.",zwischen zwei Stühlen sitzen,1.0
487,488,С ЛЁГКИМ СЕРДЦЕМ,ß ljochkim ßerzem,Mit leichtem Herzen.,"Ohne Aufregung, ohne Befürchtung.",leichten Herzens,1.0
490,491,СЛОМАТЬ ЛЁД,ßlomatj Ijod,Das Eis (zer)brechen.,"Schwierigkeiten, Spannungen in den Beziehungen beseitigen.",das Eis brechen,1.0
495,496,СМЕЯТЬСЯ В КУЛАК,ßmejatza w kulak,In die Faust lachen.,Verstohlen lachen.,sich eins ins Fäustchen lachen,1.0
499,500,СМОТРЕТЬ ДРУГИМИ ГЛАЗАМИ,ßmotretj drugimi glasami,Mit anderen Augen sehen.,Sich zu j-m oder etw. anders verhalten.,mit anderen Augen sehen,1.0
502,503,СМОТРЕТЬ СКВОЗЬ ПАЛЬЦЫ,ßmotretj ßkwosj paljzy,Durch die Finger sehen.,Etw. absichtlich nicht beachten; bewußt nichts Anstößiges an etw. bemerken.,durch die Finger sehen,1.0
506,507,СНЯТЬ перед кем-либо ШЛЯПУ,ßnjatj (pered kem-libo) schljapu,Vor j-m den Hut abnehmen.,J-m seine Achtung bezeugen.,vor j-m den Hut ziehen,1.0
508,509,СОВАТЬ HOC во что-либо,ßowatj noß (wo tschto-libo),Die Nase in etw. stecken.,Sich in etw. (meist fremde Angelegenheiten) einmischen.,in etw. seine Nase stecken,1.0
518,519,СТАВИТЬ кого-либо НА НОГИ,ßtawitj (kowo-libo) na nogi,J-n auf die Füße stellen.,J-n wieder auf die Beine bringen (nach einer Krankheit); j-n zur Selbständigkeit erziehen.,j-n auf die eigenen Füße stellen,1.0
521,522,СТАВИТЬ ТОЧКИ НАД И,ßtawitj totschki nad i,Den Punkt aufs i setzen.,Nichts Unklares bei einer Sache lassen; etw. zu einem logischen Schluß führen.,den Punkt aufs i setzen,1.0
524,525,СТИРАТЬ ГРАНИ,ßtiratj grani,Die Grenzen wegwischen.,Die Unterschiede beseitigen.,die Grenzen verwischen,1.0
531,532,СТРЕЛЯТЬ ИЗ ПУШКИ ПО ВОРОБЬЯМ,ßtreljatj iß puschki po worobjam,Aus der Kanone auf Spatzen schießen. ,Mit großem Kraftaufwand ein unbedeutendes Ergebnis erreichen.,mit Kanonen auf Spatzen schießen,1.0
532,533,СТРИЧЬ ВСЕХ ПОД ОДНУ ГРЕБЁНКУ,ßtritsch wßech pod odnu grebjonku,Alle über einen Kamm scheren.,Ohne Rücksicht auf Unterschiede j-n mit j-m gleichstellen.,alle über einen Kamm scheren,1.0
533,534,СТРОИТЬ НА ПЕСКЕ,ßtroitj na peßke,Auf Sand bauen.,Sich auf unzuverlässige Angaben stützen. ,auf Sand bauen,1.0
534,535,С ТЯЖЁЛЫМ СЕРДЦЕМ,ß tjasholym ßerzem,Mit schwerem Herzen.,In bedrückter Stimmung; voller Unruhe; mit böser Vorahnung.,schweren Herzens,1.0
541,542,ТЕРЯТЬ ГОЛОВУ,terjatj golowu,Den Kopf verlieren.,"In eine schwierige Lage geraten, vor Aufregung nicht wissen, was man tun soll.",den Kopf verlieren,1.0
542,543,ТЕРЯТЬ ПОЧВУ ПОД НОГАМИ,terjatj potschwu pod nogami,Den Boden unter den Füßen verlieren.,"Den inneren Halt, das Vertrauen auf die eigene Kraft verlieren.",den Boden unter den Füßen verlieren,1.0
553,554,УЗНАТЬ что-либо ИЗ ПЕРВЫХ РУК,usnatj (tschto-libo) iß perwych ruk,Etw. aus ersten Händen kennen.,Etw. unmittelbar von j-m erfahren.,etw. aus erster Hand kennen,1.0
555,556,УЙТИ В СЕБЯ,ujti w ßebja,In sich gehen.,In Gedanken versunken sein; ungesellig werden.,in sich gehen,1.0
557,558,УКАЗАТЬ кому-либо НА ДВЕРЬ,ukasatj (komu-libo) na dwerj,J-n auf die Tür verweisen.,"J-n in scharfer Form auffordern, zu gehen; j-n hinausjagen.",j-m die Tür weisen,1.0
561,562,УСТРАИВАТЬ СЦЕНУ,ußtraiwatj ßzenu,J-m eine Szene machen.,Einen Skandal machen; j-m sein Mißfallen bekunden.,j-m eine Szene machen,1.0
566,567,ХВАТАТЬСЯ ЗА ГОЛОВУ,chwatatza sa golowu, Sich an den Kopf fassen.,In Verzweiflung geraten.,sich an den Kopf fassen,1.0
567,568,ХВАТАТЬСЯ ЗА СОЛОМИНКУ,chwatatza sa ßolominku,Nach dem Strohhalm greifen.,"Nach dem äußersten Mittel greifen, um aus einer schwierigen Lage zu gelangen.",nach dem Strohhalm greifen,1.0
575,576,ХУДОЙ КАК СПИЧКА,chudoj kak ßpitschka,Dünn wie ein Streichholz.,"Sehr dünn, mager.",dünn wie ein Streichholz,1.0
577,578,ЧЕРЕЗ чью-либо ГОЛОВУ,tscheres (tschju-libo) golowu,Über j-s Kopf hinweg.,"J-n nicht in Kenntnis setzen, nicht informieren (der informiert sein müßte).",über j-s Kopf hinweg,1.0
580,581,ЧЁРНЫМ ПО БЕЛОМУ,tschornym po belomu,Schwarz auf weiß.,"Klar, verständlich, unzweideutig.",schwarz auf weiß,1.0
583,584,ЧИТАТЬ МЕЖДУ СТРОК,tschitatj meshdu ßtrok,Zwischen den Zeilen lesen.,Den verborgenen Sinn von etw. Geschriebenem oder Gesprochenem erraten.,zwischen den Zeilen lesen,1.0
589,590,ШУТКИ В СТОРОНУ,schutki w ßtoronu,Späße beiseite.,"Wir gehen zu ernsten Gesprächen, zur Sache über.",Spaß beiseite,1.0
