,id,head_ru,transliteration,literal,meaning,equivalents,transparency
64,65,ВОЙТИ В КОЛЕЮ,wojti w koleju,In die Fahrspur hineingehen.,Zur gewohnten Lebensweise zurückkehren; den normalen Verlauf nehmen. ,ins rechte Gleis kommen,0.0
69,70,В ПОДМЁТКИ HE ГОДИТСЯ кому-либо,w podmjodtki ne goditza (komu-libo),Er taugt nicht einmal als Schuhsohle für j-n.,J-d ist in seinen Eigenschaften beträchtlich schlechter als ein anderer; j-d ist einem anderen unterlegen.,er kann ihm nicht das Wasser reichen,0.0
73,74,ВСТАВЛЯТЬ ПАЛКИ В КОЛЁСА,wßtawljatj palki w koljoßa,Stöcke in die Räder einsetzen.,J-m absichtlich Schwierigkeiten bereiten; j-m Hindernisse in den Weg legen.,j-m Knüppel zwischen die Beine werfen,0.0
78,79,ВЫБИТЬ ИЗ КОЛЕИ,wybitj is kolei,Aus der Fahrspur herausschlagen.,J-n in der gewohnten Lebensweise stören.,aus dem Gleis bringen,0.0
79,80,ВЫБИТЬ ИЗ СЕДЛА,wybitj is ßedla,Aus dem Sattel schlagen.,J-m den Lebensinhalt nehmen; j-m den Glauben an etw. nehmen; j-s seelisches Gleichgewicht stören.,aus dem Gleichgewicht bringen,0.0
81,82,ВЫВОДИТЬ кого-либо ИЗ СЕБЯ,wywoditj (kowo-libo) is ßebja,J-n aus sich herausführen.,J-m die Selbstbeherrschung rauben.,j-n aus dem Hänschen bringen,0.0
85,86,ВЫЙТИ ИЗ ПЕЛЁНОК,wyjti is peljonok ,Aus den Windeln gehen.,Selbständig werden; erwachsen werden.,den Kinderschuhen entwachsen,0.0
86,87,ВЫЙТИ ИЗ СЕБЯ,wyjti is ßebja,Aus sich hinausgehen.,Außer sich geraten; die Selbstkontrolle verlieren.,aus der Haut fahren,0.0
88,89,ВЫЙТИ СУХИМ ИЗ ВОДЫ,wyjti ßuchim is wody,Trocken aus dem Wasser steigen.,Der verdienten Strafe entgehen.,mit heiler Haut davonkommen,0.0
89,90,ВЫЛЕТЕТЬ В ТРУБУ,wyletetj w trubu,In den Schornstein fliegen.,"Ruiniert sein, völlig verarmen.",sein Geld durch den Schornstein gejagt haben,0.0
91,92,ВЫНОСИТЬ COP ИЗ ИЗБЫ,wynoßitj ßor is isby,Den Kehricht aus der Hütte tragen.,"Streitereien, Gezänk zwischen sich Nahestehenden in aller Öffentlichkeit austragen.",seine schmutzige Wäsche in der Öffentlichkeit waschen; etw. aus der Schule plaudern,0.0
95,96,ВЫТЯГИВАТЬСЯ В СТРУНКУ,wytjagiwatza w ßtrunku,Sich wie eine Saite strecken.,Strammstehen.,kerzengerade stehen,0.0
104,105,ГОРИТ В РУКАХ,gorit w rukach,Es brennt in den Händen.,Eine Arbeit geht gut und zugig voran; etw. gelingt.,die Arbeit geht leicht von der Hand,0.0
105,106,ГОТОВ СКВОЗЬ ЗЕМЛЮ ПРОВАЛИТЬСЯ,gotow ßkwosj semlju prowalitza,"Bereit, durch die Erde zu stürzen.",Sich vor Scham verbergen wollen.,am liebsten in die Erde versinken wollen,0.0
107,108,ДАВАТЬ кому-либо СДАЧИ,dawatj (komu-Iibo) ßdatschi,J-m den Restbetrag herausgeben.,"Einen Schlag mit einem Schlag, eine Beleidigung mit einer Beleidigung beantworten.",j-m keine Antwort schuldig bleiben,0.0
108,109,ДАЛЬШЕ ЕХАТЬ НЕКУДА,daljsche jechatj nekuda,Man kann nirgendwohin weiterfahren.,Schlimmer kann es gar nicht kommen.,das ist die Höhe,0.0
109,110,ДВА САПОГА ПАРА,dwa ßapoga para,Zwei Stiefel sind ein Paar.,Einander besonders wegen der Eigenschaften ähnlich sein; einer ist nicht besser als der andere.,gleich und gleich gesellt sich gern; sie sind einander wert,0.0
115,116,ДЕНЕГ КУРЫ HE КЛЮЮТ,deneg kury ne kljujut,Die Hühner picken das Geld nicht auf.,Sehr viel Geld; Geld im Überfluß haben.,Geld wie Heu,0.0
117,118,ДЕРЖАТЬ КАМЕНЬ ЗА ПАЗУХОЙ,dershatj kamenj sa pasuchoj,Den Stein hinter dem Hemd halten.,"Seinen Zorn j-m gegenüber verbergen; bereit sein, sich an j-m zu rächen.",Böses im Schilde führen,0.0
118,119,ДЕРЖАТЬ HOC ПО ВЕТРУ,dershatj noß po wetru,Die Nase nach dem Wind halten.,Sich den Umständen anpassen; seine Auffassungen ändern ohne eigene Grundsätze.,den Mantel nach dem Wind hängen,0.0
119,120,ДЕРЖАТЬ СЕБЯ В РУКАХ,dershatj ßebja w rukach,Sich in den Händen halten.,Seine Gefühlsanwandlungen zügeln; die Selbstbeherrschung bewahren.,sich in der Gewalt haben,0.0
120,121,ДЕРЖАТЬ УХО ВОСТРО,dershatj ucho woßtro,Das Ohr spitz halten.,J-m mißtrauen; sehr vorsichtig / wachsam sein.,auf der Hut sein; auf dem Quivive sein,0.0
125,126,ДОЛГАЯ ПЕСНЯ,dolgaja peßnja,Ein langes Lied.,Eine langwierige Sache; etw. das seine Zeit zur Realisierung braucht., eine langwierige Angelegenheit,0.0
126,127,ДОСТАТЬ ИЗ-ПОД ЗЕМЛИ,doßtatj is-pod semli,Etw. aus der Erde herausnehmen. ,"Sich etw. mit beliebigen Mitteln, auf beliebige Weise verschaffen.","bis ans Ende der Welt laufen, um etw. zu bekommen",0.0
130,131,ДУША НАРАСПАШКУ,duscha naraßpaschku,Die Seele aufgeknöpft.,"Ein aufrichtiger, gerader, offenherziger Mensch.",er trägt sein Herz auf der Zunge,0.0
133,134,ДЫРЯВАЯ ГОЛОВА,dyrjawaja golowa,Ein durchlöcherter Kopf.,"J-d mit sehr schlechtem Gedächtnis; ein sehr vergeßlicher, sehr zerstreuter Mensch.",ein Gedächtnis wie ein Sieb,0.0
134,135,ЕСТЬ ЕЩЁ ПОРОХ В ПОРОХОВНИЦАХ,jeßtj jestscho poroch w porochownizach,Noch ist Pulver in den Pulvertaschen.,"J-d ist voller Energie, voller Kampfkraft, voll von Leistungswillen.",noch ist nicht alles Pulver verschossen,0.0
135,136,ЕХАТЬ ЗАЙЦЕМ,jechatj sajzem,Als Hase fahren.,"Ein Verkehrsmittel benutzen, ohne zu bezahlen.",als blinder Passagier fahren; schwarzfahren,0.0
137,138,ЖИТЬ ДУША В ДУШУ,shitj duscha w duschu,Seele in Seele leben.,In bestem Einvernehmen leben.,ein Herz und eine Seele sein,0.0
139,140,ЖИТЬ КАК НА ВУЛКАНЕ,shitj kak na wulkane,Wie auf einem Vulkan leben.,In ständiger Erwartung von Unannehmlichkeiten leben.,wie auf einem Pulverfass sitzen,0.0
141,142,ЖИТЬ ПРИПЕВАЮЧИ,shitj pripewajutschi,Singend leben.,"Ein sorgloses Leben führen, fröhlich und angenehm leben.",in Saus und Braus leben,0.0
143,144,ЗАВАРИТЬ КАШУ,sawaritj kaschu,Sich einen Brei einrühren.,Sich etw. Unangenehmes einbrocken.,sich eine Suppe einbrocken,0.0
146,147,ЗАДАТЬ ПЕРЦУ,sadatj perzu,Pfeffer geben.,"J-n rügen oder strafen, indem man ihm gegenüber die eigene Stärke deutlich macht. ",j-m die Hölle heiß machen,0.0
147,148,ЗАДЕТЬ ЗА ЖИВОЕ,sadetj sa shiwoje,Das Lebendige berühren.,J-n empfindlich treffen; j-s Stolz beleidigen.,den wunden Punkt berühren,0.0
150,151,ЗАКИНУТЬ УДОЧКУ,sakinutj udotschku,Die Angel auswerfen.,Durch vorsichtige Bemerkungen etw. auszukundschaften versuchen,seine Fühler ausstrecken,0.0
152,153,ЗАКРАДЫВАТЬСЯ В ДУШУ,sakradywatza w duschu,Sich in die Seele einschleichen.,"Unbemerkt, allmählich entstehen.","Gefühle, Gedanken",0.0
156,157,ЗАМОРИТЬ ЧЕРВЯЧКА,samoritj tscherwjatschka,Ein Würmchen vertilgen.,Mit einem kleinen Imbiß den größten Hunger stillen.,einen Bissen zu sich nehmen; einen Happen essen.,0.0
157,158,ЗАРУБИТЬ НА НОСУ,sarubitj na noßu,In die Nase einkerben; eine Kerbe in die Nase machen.,Sich etw. gut merken; sich etw. fest einprägen.,sich etw. hinter die Ohren schreiben,0.0
159,160,ЗВЁЗД С НЕБА НЕ ХВАТАЕТ,swjosd ß neba ne chwatajet,Er greift die Sterne nicht vom Himmel.,Er zeichnet sich durch nichts Besonderes aus; er hat mittelmäßige Fähigkeiten.,j-d ist kein großes Licht,0.0
160,161,ЗЕЛЁНАЯ УЛИЦА,seljonaja uliza,Grüne Straße.,Es gibt keine Hindernisse für j-n in etw.,grünes Licht,0.0
161,162,ЗНАТЬ что-либо ВДОЛЬ И ПОПЕРЁК,snatj (tschto-libo) wdolj i poperjok,Etw. kreuz und quer kennen. ,Etw. bis in die Feinheiten genau kennen.,etw. in- und auswendig kennen; etw. aus dem Effeff kennen,0.0
162,163,ЗНАТЬ ВСЕ ХОДЫ И ВЫХОДЫ,snatj wße chody i wychody,Alle Ein- und Ausgänge kennen.,"Sich sehr genau in einer Sache auskennen; genau wissen, was in einer bestimmten Situation zu tun ist.",alle Schliche kennen,0.0
163,164,ЗНАТЬ КАК СВОИ ПЯТЬ ПАЛЬЦЕВ,snatj kak ßwoi pjatj paljzew,Wie seine fünf Finger kennen.,"Etw. ausgezeichnet, gründlich kennen.",etw. wie seine Westentasche kennen,0.0
173,174,ИДТИ КУДА ГЛАЗА ГЛЯДЯТ,idti kuda glasa gljadjat,Gehen wohin die Augen sehen.,Ohne ein bestimmtes Ziel gehen.,immer der Nase nach gehen,0.0
174,175,ИДТИ НА ПОВОДУ,idti na powodu,Am Zügel gehen.,In seinem Tun von j-m abhängig sein.,am Gängelband geführt werden,0.0
179,180,ИЗ ОДНОГО ТЕСТА,is odnowo teßta,Aus demselben Teig (gemacht).,"Einen ähnlichen Charakter, ähnlich Ansichten haben wie die anderen.",aus demselben Holz geschnitzt,0.0
182,183,ИМЕТЬ ГОЛОВУ НА ПЛЕЧАХ,imetj golowu na pletschach,Den Kopf auf den Schultern haben.,Ein heller Kopf sein; Verstand haben.,Köpfchen haben,0.0
186,187,ИСКРЫ ИЗ ГЛАЗ ПОСЫПАЛИСЬ,ißkry is glas posypalißj,Funken regneten aus den Augen.,Durch einen schmerzhaft starken Schlag auf den Kopf beginnt es in den Augen zu flimmern,j-d sieht Sterne,0.0
189,190,И УХОМ HE ВЕДЁТ,i uchom ne wedjot,Er bewegt nicht einmal das Ohr.,Er schenkt der Sache keinerlei Beachtung; er macht sich nichts daraus.,er zuckt nicht mit der Wimper,0.0
195,196,КАК В ВОДУ ОПУЩЕННЫЙ,kak w wodu opustschennyj,Wie ins Wasser getaucht.,"Deprimiert, niedergedrückt.",wie ein begossener Pudel,0.0
196,197,КАК ВЕТРОМ СДУЛО,kak wetrom ßdulo, Wie vom Wind fortgeweht.,J-d ist unverhofft und augenblicklich verschwunden.,wie weggeblasen,0.0
197,198,КАК ГОРА С ПЛЕЧ СВАЛИЛАСЬ,kak gora ß pletsch ßwalilaßj,Gleichsam ein Berg von den Schultern gestürzt.,Sehr erleichtert sein.,ihm ist ein Stein vom Herzen gefallen,0.0
200,201,КАК ДВЕ КАПЛИ ВОДЫ,kak dwe kapli wody,Wie zwei Wassertropfen.,Sehr ähnlich.,wie ein Ei dem anderen,0.0
207,208,КАК ОБ СТЕНКУ ГОРОХ,kak ob ßtenku goroch,Wie die Erbse von der Wand.,Wirkungslos an j-m abprallen.,wie gegen eine Wand reden,0.0
208,209,КАК ПО МАСЛУ,kak po maßlu,Wie über Butter.,"Ohne Schwierigkeiten, reibungslos.",wie geschmiert,0.0
210,211,КАК РУКОЙ СНЯЛО,kak rukoj ßnjalo,Gleichsam mit der Hand weggenommen.,"Auf einmal völlig verschwunden, vergangen (Schmerzen, Müdigkeit).",wie weggewischt,0.0
212,213,КАК С ГУСЯ ВОДА,kak ß gußja woda,Wie das Wasser von der Gans. ,Es macht j-m nichts aus; es läßt j-n kalt.,das gleitet an ihm ab,0.0
214,215,КАК СКВОЗЬ ЗЕМЛЮ ПРОВАЛИЛСЯ,kak ßkwosj semlju prowalilßja,Als wäre er durch die Erde gefallen.,Spurlos verschwunden.,wie vom Erdboden verschluckt,0.0
215,216,КАК СНЕГ НА ГОЛОВУ,kak ßneg na golowu,Wie Schnee auf den Kopf.,"Völlig unerwartet, ganz plötzlich.",wie ein Blitz aus heiterem Himmel,0.0
216,217,КАК ЧЁРТ ОТ ЛАДАНА,kak tschort ot ladana,Wie der Teufel vor dem Weihrauch (fliehen).,Sich mit allen Kräften vor j-m oder etw. zu retten suchen.,etw. furchten wie der Teufel das Weihwasser,0.0
220,221,КАПЛЯ В МОРЕ,kaplja w more,Ein Tropfen im Meer.,Eine verschwindend kleine Menge (im Vergleich zu etw.).,ein Tropfen auf den heißen Stein,0.0
221,222,КАТАТЬСЯ КАК СЫР В МАСЛЕ,katatza kak syr w maßle,Sich wie der Käse in der Butler wälzen.,"Im Zufriedenheit, im Wohlstand leben.",wie die Made im Speck leben,0.0
223,224,КАШИ НЕ СВАРИШЬ с кем-либо,kaschi ne ßwarisch (ß kem-libo),Mit j-m kann man keinen Brei kochen.,Sich mit j-m nicht einigen können; nicht übereinkommen mit j-m.,mit j-m nicht unter einen Hut kommen,0.0
224,225,КИДАЕТ В ЖАР,kidajet w shar,J-d wird in Hitze geworfen.,J-d gerät in starke Erregung; j-d wird sehr aufgeregt.,es überkommt j-n heiß,0.0
226,227,КЛИН КЛИНОМ ВЫШИБАТЬ,klin klinom wyschibatj,Einen Keil mit einem (anderen) Keil herausschlagen.,Ein Übel durch ein anderes bekämpfen.,den Teufel mit Beelzebub austreiben,0.0
227,228,КОГДА РАК СВИСТНЕТ,kogda rak ßwißnet,Wenn der Krebs pfeift.,"Unbekannt wann, niemals.",wenn Ostern und Pfingsten auf einen Tag fallen; am Nimmerleinstag,0.0
228,229,КОТ НАПЛАКАЛ,kot naplakal,Der Kater hat Tränen vergossen.,Sehr wenig; eine ganz geringe Anzahl.,einen Fingerhut voll,0.0
229,230,КОШКИ СКРЕБУТ НА ДУШЕ,koschki ßkrebut na dusche,Katzen scharren an der Seele.,Innerlich erregt sein; schwer ums Herz sein.,"Sorge, Kummer nagt an j-m",0.0
234,235,КРИЧАТЬ о чём-либо НА ВСЕХ ПЕРЕКРЁСТКАХ,kritschatj (o tschom-libo) na wßech perekrjoßtkach,Etw. an allen Kreuzungen ausschreien. ,"Etw. überall und jedem erzählen, etw. ausposaunen.",etw. in alle Welt posaunen,0.0
236,237,"КТО В ЛЕС, КТО ПО ДРОВА","kto w leß, kto po drowa","Der eine in den Wald, der andere nach Brennholz.","Unharmonisch, uneinheitlich handeln (meist beim Singen und Musizieren)","der eine sagt hü, der andere hott",0.0
237,238,КУДА ВЕТЕР ДУЕТ,kuda weter dujet,Wohin der Wind weht.,Die Meinung unter dem Gesichtspunkt des eigenen materiellen Vorteils ändern.,den Mantel nach dem Wind hängen,0.0
243,244,ЛЁД ТРОНУЛСЯ,ljod tronulßja,Das Eis hat sich bewegt.,Der Anfang ist gemacht.,der Grundstein ist gelegt,0.0
244,245,ЛЕЗТЬ В БУТЫЛКУ,lestj w butylku,In die Flasche kriechen.,Sich grundlos oder wegen einer Bagatelle erzürnen.,auf die Palme gehen,0.0
246,247,ЛЕЗТЬ ИЗ КОЖИ ВОН,lestj is koshi won,Aus der Haut kriechen.,Großen Eifer an den Tag legen; sich sehr bemühen.,alles daransetzen,0.0
251,252,ЛОВИТЬ кого-либо НА СЛОВЕ,lowitj (kowo-llbo) na ßlowe,J-n beim Wort ertappen.,"Von j-m erwarten, daß er das tut, was er versprochen hat.",j-n beim Wort nehmen,0.0
262,263,МЕРИТЬ НА СВОЙ АРШИН,meritj na swoj arschin,"Nach dem eigenen Arschin (altes russisches Längenmaß, 71,1 cm) messen.",Über alle nur nach den eigenen Vorstellungen urteilen.,mit eigenem Maßstab messen,0.0
263,264,МЕТАТЬ ГРОМЫ И МОЛНИИ,metatj gromy i molnii,Donner und Blitze schleudern.,J-n streng rügen; j-n zornig und erregt  beschuldigen.,Gift und Galle speien,0.0
264,265,МИР ТЕСЕН,mir teßen,Die Welt ist klein.,überall kann man unerwartet Bekannten begegnen.,die Welt ist ein Dorf,0.0
267,268,МОТАТЬ СЕБЕ НА УС,motatj ßebe na uß,Sich etw. in den Schnurrbart wickeln.,Sich etw. gut merken.,sich etw. hinter die Ohren schreiben,0.0
268,269,МОЯ ХАТА С КРАЮ,moja chata ß kraju,Meine Hütte steht am Rande (des Ortes).,Das geht mich nichts an; ich weiß von nichts.,mein Name ist Hase,0.0
274,275,НАБРАТЬ В РОТ ВОДЫ,nabratj w rot wody,Wasser in den Mund nehmen.,Stillschweigen bewahren.,stumm wie ein Fisch sein; ein Schloß vor dem Mund haben,0.0
276,277,НАВОСТРИТЬ ЛЫЖИ,nawoßtritj lyshi,Die Schier spitzen.,Die Absicht haben davonzulaufen; fortlaufen.,sich auf und davon machen,0.0
278,279,НАВЯЗНУТЬ В ЗУБАХ,nawjasnutj w subach,In den Zähnen hängenbleiben.,überdrüssig; zuwider werden.,zum Halse heraushängen,0.0
281,282,НАЖИМАТЬ НА ВСЕ КНОПКИ,nashimatj na wße knopki,Auf alle Knöpfe drücken.,"Alle Möglichkeiten nutzen, um etw. zu erreichen; seine Beziehungen ausnützen.",alle Hebel in Bewegung setzen,0.0
282,283,НАЖИМАТЬ НА ВСЕ ПЕДАЛИ,nashimatj na wße pedali,Auf alle Pedalen drücken.,"Alle Anstrengungen unternehmen, um etw. zu erreichen.",alle Register ziehen,0.0
288,289,НАМЫЛИТЬ ШЕЮ,namylitj scheju,Den Hals einseifen.,J-n tüchtig auszanken.,j-m den Kopf waschen,0.0
290,291,НАПУСТИТЬ ТУМАНУ,napußtitj tumanu,Nebel hereinlassen.,Etw. durcheinanderbringen; j-n in die Irre führen.,j-n blauen Dunst vormachen,0.0
293,294,НАХОДИТЬСЯ НА ТОЧКЕ ЗАМЕРЗАНИЯ,nachoditza na totschke samersanija,Sich auf dem Gefrierpunkt befinden.,Sich in einem Zustand ohne Bewegung und Entwicklung befinden.,auf dem toten Punkt angelangt sein,0.0
301,302,НЕ ЛЕЗТЬ ЗА СЛОВОМ В КАРМАН,ne lestj sa ßlowom w karman, Nicht nach dem Wort in die Tasche greifen.,Immer eine Antwort wissen.,um eine Antwort nicht verlegen sein,0.0
307,308,НЕ УДАРИТЬ В ГРЯЗЬ ЛИЦОМ,ne udaritj w grjasj lizom,Nicht mit dem Gesicht in den Schmutz schlagen.,Sich nicht blamieren; sich von der besten Seite zeigen.,seinen Mann stehen,0.0
309,310,НЕ ФУНТ ИЗЮМУ,ne funt isjumu,Das ist kein Pfund Rosinen.,Etw. ist (für j-n) keine Kleinigkeit.,das ist doch kein Pappenstiel,0.0
310,311,НЕЧИСТ НА РУКУ,netschißt na ruku,Er ist nicht sauber an der Hand. ,"Er neigt zu Diebstahl, zu Betrügereien.",er hat klebrige Finger,0.0
314,315,НИ ЗА КАКИЕ КОВРИЖКИ,ni sa kakije kowrishki,Nicht für irgendwelche Pfefferkuchen.,Auf gar keinen Fall.,um nichts auf der Welt,0.0
318,319,НИ ПУХА НИ ПЕРА!,ni pucha ni pera!,Weder Flaum noch Feder!,Ich wünsche Erfolg!,Hals- und Beinbruch!,0.0
325,326,ОБВЕСТИ ВОКРУГ ПАЛЬЦА,obweßti wokrug paljza,Um den Finger herumführen.,"J-n täuschen, überlisten. |",j-n hinters Licht führen,0.0
335,336,ОКУНУТЬСЯ С ГОЛОВОЙ,okunutza ß golowoj,Mit dem Kopf untertauchen.,Sich einer Sache völlig widmen; in etw. völlig aufgehen.,sich in eine Sache stürzen,0.0
337,338,ОСТАВИТЬ С НОСОМ,oßtawitj ß noßom,J-n mit einer Nase zurücklassen.,J-n in seinen Erwartungen enttäuschen.,j-m eine Nase drehen,0.0
340,341,ОТКЛАДЫВАТЬ НА ЧЁРНЫЙ ДЕНЬ,otkladywatj na tschornyj denj,Für den schwarzen Tag zurücklegen.,Für den Notfall zurücklegen; einen Notgroschen zurücklegen.,auf die hohe Kante legen,0.0
346,347,ПАЛЕЦ О ПАЛЕЦ НЕ УДАРИТЬ,palez o palez ne udaritj,Einen Finger nicht an den anderen Finger stoßen., Nichts tun (für die Erreichung eines Zieles).,keinen Finger rühren,0.0
347,348,ПАЛКА О ДВУХ КОНЦАХ,palka o dwuch konzach,Ein Stock hat zwei Enden.,"Von etw., das gut oder schlecht ausgehen kann.",ein zweischneidiges Schwert,0.0
349,350,ПАЛЬЦЕМ кого-либо HE ТРОНУТЬ,paljzem (kowo-libo) ne tronutj,Keinen mit dem Finger berühren. ,J-m nichts zuleide tun.,j-m kein Haar krümmen,0.0
352,353,ПЕРЕГИБАТЬ ПАЛКУ,peregibatj palku,Den Stock zu sehr biegen.,Etw. übertreiben; überrtrieben hohe Forderungen stellen.,den Bogen überspannen,0.0
353,354,ПЕРЕЛИВАТЬ ИЗ ПУСТОГО В ПОРОЖНЕЕ,pereliwatj is pußtowo w poroshneje,Aus einem leeren Gefäß in ein anderes gießen.,"Etw. Nutzloses tun, die Zeit nutzlos vergeuden; mit leerem Geschwätz die Zeit verbringen.",leeres Stroh dreschen,0.0
356,357,ПЕРЕПОЛНИТЬ ЧАШУ ТЕРПЕНИЯ,perepolnitj tschaschu terpenija,Den Becher der Geduld zu voll füllen.,Die Geduld überstrapazieren.,das Maß voll machen,0.0
357,358,ПЕСЕНКА СПЕТА,peßenka ßpeta,Das Liedchen ist gesungen. ,"Das Ende von etw. ist gekommen (von j-s Leben, von der Arbeit u. a.).",mit j-m ist es aus,0.0
362,363,ПЛЕВАТЬ В ПОТОЛОК,plewatj w potolok,An die Decke spucken.,Faulenzen; nichts tun.,Däumchen drehen,0.0
369,370,ПОДВЕСТИ кого-либо ПОД МОНАСТЫРЬ,podweßti (kowo-libo) pod monaßtyrj,J-n unter das Kloster führen. ,J-m Unannehmlichkeiten bereiten.,j-n in Teufels Küche bringen,0.0
370,371,ПОДВОДНЫЕ КАМНИ,podwodnyje kamni,Steine unter Wasser.,Versteckte Gefahren; unverhoffte Schwierigkeiten.,gefährliche Klippen,0.0
371,372,ПОД ГОРЯЧУЮ РУКУ,pod gorjatschuju ruku,Unter einer hitzigen Hand.,"Im Zustand der Erregung, der Gereiztheit (etw. tun).",in der Hitze des Gefechts,0.0
374,375,ПОДЛОЖИТЬ СВИНЬЮ,podloshitj ßwinju,J-m ein Schwein zuschieben.,J-n hereinlegen; j-m Unannehmlichkeiten bereiten.,j-m ein Bein stellen; j-m einen Knüppel zwischen die Beine werfen,0.0
384,385,"ПОКАЗАТЬ, ГДЕ РАКИ ЗИМУЮТ","pokasatj, gde raki simujut","Zeigen, wo die Krebse den Winter verbringen.",Es j-m zeigen (als Drohung).,"j-m zeigen, was eine Harke ist",0.0
386,387,ПОКАЗАТЬ ПЯТКИ,pokasatj pjatki,Die Fersen zeigen.,Die Flucht ergreifen; davonlaufen; fliehen.,Fersengeld geben,0.0
390,391,ПОЛОЖИТЬ ЗУБЫ НА ПОЛКУ,poloshitj suby na polku,Die Zähne ins Fach legen.,"Not leiden, hungern.",am Hungertuch nagen,0.0
392,393,ПОЛОЖИТЬ что-либо ПОД СУКНО,poloshitj (tschto-libo) pod ßukno,Etw. unters Tuch legen. ,Die Entscheidung von etw. hinausschieben.,etw. auf die lange Bank schieben,0.0
397,398,ПОПАСТЬ КАК КУР ВО ЩИ,popaßtj kak kur wo stschi,Wie der Hahn in die Kohlsuppe geraten.,In ein unerwartetes Unglück geraten; in eine unangenehme Lage geraten.,in die Klemme geraten,0.0
399,400,"ПОПАСТЬ HE В БРОВЬ, А В ГЛАЗ","popaßtj ne w browj, a w glas",Nicht in die Braue sondern ins Auge treffen.,"Das Ziel treffen, treffsicher sein (von einem Ausdruck).","den Nagel auf den Kopf treffen, ins Schwarze treffen",0.0
400,401,ПОПАСТЬ ПАЛЬЦЕМ В НЕБО,popaßtj paljzem w nebo,Mit dem Finger in den Himmel treffen.,Etw. Unpassendes sagen oder tun.,einen Bock schießen,0.0
