,id,head_ru,transliteration,literal,meaning,equivalents,transparency
105,106,ГОТОВ СКВОЗЬ ЗЕМЛЮ ПРОВАЛИТЬСЯ,gotov skvoz’ z’eml’u provalittsa,Ready to fall through the ground.,One earnestly wishes to disappear; one feels so ashamed or embarrassed that he wishes that the earth would swallow him up.,He wishes the ground would open under him,0.5
125,126,ДОЛГАЯ ПЕСНЯ,dolgaya p’esn’a,A long song.,Something that cannot be done or explained quickly; something that takes a long time to be accomplished; a drawn out affair.,A long story.,0.5
132,133,ДУША УШЛА В ПЯТКИ,ducha ushla v p’atki,One’s soul has gone into one’s heels.,Someone is greatly alarmed by what is happening or anticipated to happen; terribly frightened.,One’s heart sank into one’s boots; to have one’s heart in one’s mouth.,0.5
133,134,ДЫРЯВАЯ ГОЛОВА,dyr’avaya golova,A holey head.,"Someone who has a very poor memory; someone who is forgetful, absent-minded.",To have a head like a sieve.,0.5
138,139,ЖИТЬ КАК КОШКА С СОБАКОЙ,zhit’ kak koshka s sobakoy,To live like a cat and a dog.,"To be constantly snapping, bickering and quarrelling.",To fight like cats and dogs.,0.5
139,140,ЖИТЬ КАК НА ВУЛКАНЕ,zhit’ kak na vulkan’e,To live as on a volcano.,To be in constant anticipation of trouble.,To sit on a powder-keg; to be living on the edge of a volcano; to be sitting on a volcano,0.5
143,144,ЗАВАРИТЬ КАШУ, zavarit’ kashu,To cook kasha (a dish of cooked grain or groats),"To start a complicated, risky or troublesome affair.",To stir up trouble; to make a mess of something.,0.5
149,150,ЗАЙТИ В ТУПИК,zayti v tupik,To come into a blind alley.,To find oneself in a desperate position.,To reach a deadlock,0.5
151,152,ЗАКОЛДОВАННЫЙ КРУГ,zakoldovanny krug,A bewitched circle.,A hopeless situation; a state of affairs from which it’s difficult to find a way out.,A vicious circle,0.5
160,161,ЗЕЛЁНАЯ УЛИЦА,z’el’onaya ulitsa,A green street.,An open thoroughfare; also used to indicate that there is nothing standing in one’s way.,The green light,0.5
161,162,ЗНАТЬ что-либо ВДОЛЬ И ПОПЕРЁК,znat’ vdol’ i pop’er’ok,To know something lengthwise and crosswise.,To know something thoroughly in all its details.,To know something inside out.,0.5
162,163,ЗНАТЬ ВСЕ ХОДЫ И ВЫХОДЫ,znat’ vs’e khody i vykhody,To know all the entrances and exits,To know all the details or intricacies; to be thoroughly familiar with what is to be done under the circumstances.,To know one’s way around; to know all the ins and outs; to know the ropes.,0.5
163,164,ЗНАТЬ КАК СВОИ ПЯТЬ ПАЛЬЦЕВ,znat’ kak svoyi p’at’ pal’tsev,To know something as well as one’s own five fingers.,To know something thoroughly; to be quite familiar with something.,To know something like the palm of one’s hand.,0.5
167,168,ЗОЛОТЫЕ РУКИ,zolotyye ruki,Golden hands.,A master of one’s craft.,A clever pair of hands; skillful/deft fingers.,0.5
171,172,ИДТИ В ГОРУ,itti v goru,To go uphill.,To gain influence; to attain promotion; to make a prosperous career.,To go up/rise in the world; to climb up the ladder.,0.5
172,173,ИДТИ В ОГОНЬ И В ВОДУ,itti v ogon’ i v vodu,To go into fire and water.,"To submit to any ordeal, to encounter or face the greatest dangers or hardest chances, to be ready to do anything for someone or something.",To go through fire and water,0.5
174,175,ИДТИ НА ПОВОДУ,itti na povodu,To walk on someone’s rein.,To be dependent on someone.,To be led by; to be under someone’s thumb.,0.5
175,176,ИДТИ ПО чьим-либо СТОПАМ,itti po stopam,To walk in someone’s footsteps.,To follow someone’s example; to be someone’s disciple.,To follow in someone’s footsteps,0.5
180,181,ИЗ РЯДА ВОН ВЫХОДЯЩИЙ,iz r’ada von vykhod’ashchy,Going out of the line.,"Outstanding, exceptional, out of the ordinary.",Out of the common run,0.5
182,183,ИМЕТЬ ГОЛОВУ НА ПЛЕЧАХ,im’et’ golovu na plechakh,To have a head on one’s shoulders.,To be intelligent and reasonable; to be able to think for oneself.,To have a good head on one’s shoulders.,0.5
205,206,КАК НА ИГОЛКАХ,kak na igolkakh,As if on needles.,"Racked with anxiety, in a state of acute discomfort, uneasiness or suspense.",To be on tenter-hooks; to be on pins and needles; to be on thorns/wires.,0.5
212,213,КАК С ГУСЯ ВОДА,kak s gus’a voda,Like water off a goose.,Without producing any effect; without paying the slightest attention,Like water off a duck’s back.,0.5
213,214,КАК СЕЛЬДЕЙ В БОЧКЕ,kak sel’dey v bochk’e,Like herrings in a barrel.,The place is so crowded that one can’t push one’s way through.,Packed like sardines,0.5
214,215,КАК СКВОЗЬ ЗЕМЛЮ ПРОВАЛИЛСЯ,kak skvoz’ z’eml’u provalils’a,As if someone or something has fallen through the ground.,"Someone or something has suddenly and unexpectedly disappeared in a mysterious manner, without a trace.",To vanish into thin air; as though the earth had opened and swallowed it up.,0.5
217,218,КАМЕНЬ НА СЕРДЦЕ,kam’en’ na sertse,A stone on one’s heart.,Someone feels depressed or unhappy.,A heavy heart; to have something weigh upon one’s heart.,0.5
220,221,КАПЛЯ В МОРЕ,kapl’a v mor’e,A drop in the sea.,A part so small as to be insignificant,A drop in the ocean/bucket,0.5
226,227,КЛИН КЛИНОМ ВЫШИБАТЬ,klin klinom vyshybat’,To drive out one wedge with another.,To destroy the results of an action by the means this action has been previously caused.,To fight fire with fire; like cures like; nail drives out nail.,0.5
231,232,КРАСИВЫЙ ЖЕСТ,krasivy zhest,A fine gesture.,A deliberate action intended for effect.,A fine gesture; beau geste,0.5
233,234,КРЕПКИЙ ОРЕШЕК,kr’epky or’eshek,A hard nut.,A problem that is very hard to solve; a person hard to deal with.,A hard nut to crack,0.5
237,238,КУДА ВЕТЕР ДУЕТ,kuda v’et’er duyet,Whither the wind is blowing.,"One has no firm convictions; one adapts himself to the prevailing opinions, views, tastes; one avoids taking action or making a decision until he sees which move will be most favourable to himself.",To see/find out which way the wind blows; to see which way the cat jumps; as changeable as a weathercock.,0.5
238,239,КУПИТЬ КОТА В МЕШКЕ,kupit’ kota v m’eshk’e,To buy a cat in a sack,To buy a thing without knowing its real value or quality.,To buy a pig in a poke,0.5
239,240,КУРАМ НА СМЕХ,kuram na sm’ekh,For the hens to laugh at.,"It’s funny, ridiculous, absurd, silly.",It’s enough to make a cat laugh,0.5
247,248,ЛИТЬ ВОДУ НА чью-либо МЕЛЬНИЦУ,lit’ vodu na m’el’nitsu,To pour water on someone’s mill-wheel.,Indirectly to help someone (usually an opponent) by one’s actions.,To play into someone’s hands; to bring grist to someone’s mill.,0.5
252,253,ЛОВИТЬ РЫБУ В МУТНОЙ ВОДЕ,lovit’ rybu v mutnoy vod’e,To catch fish in turbid water.,To try to benefit from other people’s troubles; to try to gain advantage for oneself from a disturbed state of affairs; to try to make a calamity by means of personal gain.,To fish in troubled waters,0.5
263,264,МЕТАТЬ ГРОМЫ И МОЛНИИ,m’etat’ gromy i molnii,To fling thunder and lightning.,"To rage, to fulminate, to speak with threats and anger.",To rant and rave; to hurl thunderbolts; to blow one’s top.,0.5
275,276,НА ВЕС ЗОЛОТА,na v’es zolota,Worth its weight in gold.,Someone or something is extremely valuable or useful.,To be worth one’s/its weight in gold,0.5
277,278,НАВОСТРИТЬ УШИ,navostrit’ ushy,To sharpen one’s ears.,To give sudden and intense attention to what is being said or to what is going to be said.,To prick up one’s ears.,0.5
286,287,НА ЛБУ НАПИСАНО,na lbu napisano,It’s written on the forehead.,Something about a person is quite obvious by the look on his face.,It’s written all over his face.,0.5
289,290,НАНЕСТИ УДАР ИЗ-ЗА УГЛА,nan’esti udar izza ugla,To strike a blow from round the corner.,"To act in an underhand, treacherous, sly manner.",A stab in the back,0.5
292,293,НАСТУПАТЬ кому-либо НА ПЯТКИ,nastupat’ na p’atki,To catch up with someone; to follow,someone very closely; to be close behind.,To be at someone’s heels,0.5
296,297,НЕ ВИДЕТЬ ДАЛЬШЕ СВОЕГО НОСА,n’e vid’at’ dal’she svoyevo nosa,Not to see farther than one’s nose.,To lack imagination or insight; to be conscious only of circumstances round one; the situation one is now in or events that are presently happening.,Not to see an inch beyond one’s nose; to see no further than one’s nose,0.5
299,300,НЕ ВЫХОДИТ ИЗ ГОЛОВЫ,n’e vykhodit iz golovy,It doesn’t come out of the one’s head,Something remains permanently in one’s mind; one is unable to get something out of one’s mind. ,It sticks in one’s mind.,0.5
306,307,НЕ ОТ МИРА СЕГО,n’e ot mira s’evo,Not of this world.,A person whose mind is filled with visionary thoughts; one who is too imaginative instead of attending to things in a practical way; a day-dreamer.,To be in another world; to have one’s head in the clouds.,0.5
313,314,НИ ЖИВ НИ МЁРТВ,ni zhiv ni m’ortv,Neither alive nor dead,Despondent; petrified with fear or astonishment.,More dead than alive.,0.5
315,316,НИ КОЛА НИ ДВОРА,ni kola ni dvora,Neither a picket nor a yard.,To be very poor; not to have a roof over one’s head.,"To have neither house nor home. Beside the point, out of place; for no apparent reason; quite irrelevantly.",0.5
319,320,НИ РЫБА НИ МЯСО,ni ryba ni m’aso,Neither fish nor meat.,A mediocre person.,"Neither fish, flesh nor fowl.",0.5
322,323,НОСА НЕ ВЫСУНУТЬ,nosa n’e vysunut’,Not to peep out one’s nose.,One can’t go outside.,One can’t even stick his nose out of the house,0.5
325,326,ОБВЕСТИ ВОКРУГ ПАЛЬЦА,obv’esti vokrug pal’tsa,To lead someone round a finger.,"Without any difficulty to make a person do exactly what one wishes; to be able to handle or manage someone with ease; to cajole, persuade some artfully",To twist/turn someone round one’s little finger.,0.5
350,351,ПАЛЬЧИКИ ОБЛИЖЕШЬ,pal’chiki oblizhesh,You’ll lick your fingers clean.,You’ll lick your fingers clean,Finger-licking good,0.5
358,359,ПИСАТЬ КАК КУРИЦА ЛАПОЙ,pisat’ kak kuritsa lapoy,To write like a chicken with its claw,To write quite indecipherably,One’s handwriting is like chicken tracks,0.5
368,369,ПОДВЕРНУТЬСЯ ПОД РУКУ,podv’ernuttsa pod ruku,to turn up under one’s hand,Something turns up without one’s having to make a special search for it.,To come to hand,0.5
375,376,ПОДНЕСТИ ПИЛЮЛЮ,podn’esti pil’ul’u,To bring a pill to someone.,"To say or do something unpleasant, annoying, insulting.",To give someone a bitter pill to swallow,0.5
385,386,ПОКАЗАТЬ КОГТИ,pokazat’ kogti,To show one’s claws,"To show hostility, anger, or resentment; to display a threatening attitude",To show one’s teeth,0.5
386,387,ПОКАЗАТЬ ПЯТКИ,pokazat’ p’atki,To show one’s heels.,To run away; to escape.,To take to one’s heels; to show a clean pair of heels; to take flight.,0.5
395,396,ПОПАСТЬ В ПЕРЕПЛЁТ,popast’ v per’epl’ot,To get into a binding.,To get into a difficulty or into trouble; to find oneself in an awkward or dangerous situation.,To get into a scrape/mess/tight corner; to be in a spot; to be/be caught in a bind,0.5
405,406,ПОСЛЕДНИЙ КРИК МОДЫ,posl’edny krik mody,The latest cry of fashion.,The latest fashion; the latest craze.,The last word in fashion.,0.5
406,407,ПОСЛЕДНЯЯ КАПЛЯ,posl’edn’aya kapl’a,The last drop.,The final circumstance of a series that makes a situation unbearable.,The last straw.,0.5
414,415,ПОЧИВАТЬ НА ЛАВРАХ,pochivat’ na lavrakh,To sleep on one’s laurels,To be satisfied with what one has already achieved or accomplished without striving for more.,To rest on one’s laurels,0.5
416,417,ПРИВЕСТИ кого-либо В СЕБЯ,priv’esti v seb’a,To bring someone into oneself.,To cause someone to regain consciousness; to revive someone.,To bring someone round/to,0.5
419,420,ПРИПИРАТЬ кого-либо К СТЕНКЕ,pripirat’ k st’enk’e,To press someone against the wall.,"To put someone in a difficult or embarrassing position, forcing him to do or admit something; to put someone in desperate straits.",To drive/push someone to the wall; to drive someone into a corner; to pin someone down,0.5
423,424,ПРОГЛОТИТЬ ПИЛЮЛЮ,proglotit’ pil’ul’u,To swallow the pill.,"To disregard an insult; to endure an offence patiently, without resistance or complaint.",To swallow a bitter pill.,0.5
424,425,ПРОГЛОТИТЬ ЯЗЫК,proglotit’ yazyk,To swallow one’s tongue.,To fall silent; to stop talking.,To lose one’s tongue.,0.5
450,451,РУБИТЬ СПЛЕЧА,rubit’ spl’echa,To chop straight from the shoulder.,"To speak in a direct, outspoken, blunt way; without reserve or evasion; to act without previous intention or preparation, promptly, impulsively; to do something without giving it a thought.",Straight from the shoulder,0.5
458,459,РЫТЬ ЯМУ кому-либо,ryt’ yamu,To dig a pit for someone,To cause someone trouble; to plunge into intrigue against someone; to do someone harm.,To make /prepare a pitfall for someone.,0.5
459,460,САДИТЬСЯ НА ЛЮБИМОГО КОНЬКА,sadittsa na l’ubimovo kon’ka,To mount one’s favourite pony.,To dwell on one’s favourite topic; to be on one’s pet subject.,To mount/ride one’s hobby/hobby-horse,0.5
465,466,СВЕТЛАЯ ГОЛОВА,sv’etlaya golova,A bright head.,"A lucid mind, a clear intellect, a bright spirit.",A clear head,0.5
470,471,СГОРАТЬ CO СТЫДА,sgorat’ so styda,To burn with shame.,To feel great shame.,To burn with shame,0.5
478,479,СЕСТЬ НА МЕЛЬ,s’est’ na m’el’,To sit down on a shoal.,"To get into an extremely difficult situation; to be in unsatisfactory circumstances, especially with little money.",To be on the rocks; to be in low water; to be in a tight corner.,0.5
494,495,СМАТЫВАТЬ УДОЧКИ,smatyvat’ udochki,To reel in the lines,To depart in haste,To take/sling one’s hook; to take to one’s heels; to clear out,0.5
495,496,СМЕЯТЬСЯ В КУЛАК,sm’eyattsa v kulak,To laugh into one’s fist.,To laugh secretly to oneself while being outwardly serious.,To laugh in/up one’s sleeve,0.5
496,497,СМОТРЕТЬ В КОРЕНЬ,smotret’ v kor’en’,To look into the root,To look deep into the matter; to investigate the matter thoroughly; to try to grasp the crux of a matter; to tackle something at its source,To get to the heart/root of something.,0.5
499,500,СМОТРЕТЬ ДРУГИМИ ГЛАЗАМИ,smotret’ drugimi glazami,To look at someone or something with different eyes.,To look at or assess someone or something in a different way.,To look with another eye upon.,0.5
501,502,СМОТРЕТЬ СВЕРХУ ВНИЗ,smotr’et’ sverkhu vniz,To look down at someone from above.,"To regard someone as inferior or with disapproval; to treat someone haughtily, disdainfully.",To look down on someone; to look down,0.5
504,505,СНИМАТЬ ПЕНКИ,snimat’ penki,To skim.,To appropriate part of the results of someone else’s labour.,To skim the cream off.,0.5
510,511,СОРИТЬ ДЕНЬГАМИ,sorit’ d’en’gami,To litter with money.,To spend a large sum of money recklessly; to squander money.,To throw one’s money about,0.5
536,537,СЫТ ПО ГОРЛО,syt po gorlo,Full right up to the throat.,One has had too much of something; one is surfeited with something.,To be fed up with something; to have one’s fill of something.,0.5
542,543,ТЕРЯТЬ ПОЧВУ ПОД НОГАМИ,t’er’at’ pochvu pod nogami,To lose the ground under one’s feet.,"To lose self-confidence in one’s occupation, social position or convictions.",To feel the ground slipping away from under one’s feet.,0.5
555,556,УЙТИ В СЕБЯ,uyti v s’eb’a,To go into one’s own self.,"To become withdrawn, uncommunicative; to become less sociable and more reserved.",To retire into oneself,0.5
557,558,УКАЗАТЬ кому-либо НА ДВЕРЬ,ukazat’ na dv’er’,to point to the door.,"Peremptorily to ask a person, whose presence is unwelcome, to leave the house, room, etc.",To show someone the door,0.5
560,561,УПАСТЬ С НЕБА НА ЗЕМЛЮ,upast’ s n’eba na z’eml’u,To fall from the sky to the earth.,To be disillusioned; to abandon fantasy and return to practical realities.,To come down to earth.,0.5
571,572,ХОДИТЬ ПО СТРУНКЕ,khodit’ po strtink’e,To walk on a string.,"To be completely under someone’s authority; to be very obedient, almost to the point of servility.",To be at someone’s beck and call; to dance attendance upon someone; to toe the line,0.5
582,583,ЧЕСАТЬ ЯЗЫК,chesat’ yazyk,To scratch one’s tongue.,To engage in idle talk; to talk continuously; to chatter.,To wag one’s tongue,0.5
