,id,head_ru,transliteration,literal,meaning,equivalents,transparency
59,60,ВОГНАТЬ кого-либо В КРАСКУ,vognat’ v krasku,To drive someone into the dye.,To cause someone to blush from embarrassment.,To put someone to the blush,1.0
64,65,ВОЙТИ В КОЛЕЮ,voyti v kol’eyu,To get into the rut.,To return to one’s habitual way of life; to settle down into an ordinary way of life; to get back into one’s routine; to return to normal.,To get into a groove,1.0
65,66,ВОЙТИ В РОЛЬ,voyti v rol’,To enter into one’s role.,"To become securely and comfortably settled in a new job, position, occupation.",To begin to feel one’s feet; to enter into one’s role,1.0
66,67,ВОЛОСЫ СТАНОВЯТСЯ ДЫБОМ,volosy stanov’atsa dybom,One’s hair stands on end.,One is struck with extreme horror.,One’s hair stands on end,1.0
68,69,ВПИСАТЬ НОВУЮ СТРАНИЦУ во что-либо,vpisat’ novuyu stranitsu,To write a new page into something,"To make a discovery; to do something outstanding, prominent in some field.",To add a fresh page to something,1.0
73,74,ВСТАВЛЯТЬ ПАЛКИ В КОЛЁСА,vstavl’at’ palki v kol’osa,To put sticks in the wheels.,"To deliberately interfere with the execution of a plan, operation, etc.",To put a spoke in someone’s wheel; to throw a spanner in the works; to throw monkey wrenches in the machinery,1.0
77,78,ВЫБИВАТЬ у кого-либо ПОЧВУ ИЗ-ПОД НОГ,vybivat’ pochvu is-pod nog,To knock the ground from under someone’s feet.,To deprive someone of his position or role in society; to undermine someone’s confidence in something completely; to disturb someone’s peace of mind.,To cut the ground from under someone’s feet; to take the wind out of someone’s sails,1.0
78,79,ВЫБИТЬ ИЗ КОЛЕИ,vybit’ is kol’ei,To kick someone out of the rut.,To upset someone’s routine; to unsettle someone.,To get someone out of the groove,1.0
80,81,ВЫБРОСИТЬ ИЗ ГОЛОВЫ,vybrosit’ iz golovy,To throw something out of one’s head.,To cause to forget; to dismiss from one’s mind; to give up the idea.,To put something out of one’s head.,1.0
85,86,ВЫЙТИ ИЗ ПЕЛЁНОК,vyyti is p’el’onok,To come out of one’s swaddling-clothes,"To grow up, to become adult, to be on one’s own.",To be out of swaddling-clothes,1.0
93,94,ВЫРВАТЬ что-либо С КОРНЕМ,vyrvat’ s korn’em,To tear something out with root.,"To destroy something completely; to eradicate, to extirpate, to uproot something.",To root something out.,1.0
102,103,ГОЛОВА ИДЁТ КРУГОМ,golova id’ot krugom,One’s head is going round.,"Someone has a lot to do, is in a state of bewilderment or confusion being worn out with troubles and worry.",One’s head is spinning; one’s head is in a whirl; one’s head is going round and round,1.0
114,115,ДЕЛИТЬ ШКУРУ НЕУБИТОГО МЕДВЕДЯ,d’elit’ shkuru n’eubitovo m’edv’ed’a,To divide the skin of an unkilled bear. ,To anticipate too confidently the possession of something that one may never receive; to make plans which depend on events that may not happen.,To count one’s chickens before they are hatched; to sell the bear’s skin before one has caught the bear,1.0
119,120,ДЕРЖАТЬ СЕБЯ В РУКАХ,derzhat’ s’eb’a v rukakh,To keep oneself in one’s hands.,To restrain oneself; to preserve one’s control.,To hold/keep oneself in check; to keep oneself in hand.,1.0
121,122,ДЕРЖАТЬ ЯЗЫК ЗА ЗУБАМИ,d’erzhat’ yazyk za zubami,To hold one’s tongue behind one’s teeth. ,"To keep silent, not to blab; to be cautious in what one says.",To hold one’s tongue; to keep one’s breath to cool one’s porridge,1.0
122,123,ДЕРЖАТЬСЯ В ТЕНИ,d’erzhattsa v t’eni,To hold to the shade.,To behave so as to remain unnoticed.,To stay in the background.,1.0
123,124,ДЛИННЫЙ ЯЗЫК,dlinny yazyk,A long tongue.,"Talkative, unable to hold one’s tongue; a blabber.",To have a long tongue; to wag one’s tongue.,1.0
126,127,ДОСТАТЬ ИЗ-ПОД ЗЕМЛИ,dostat’ is-pod z’emli,To get from under the ground.,To get something no matter how difficult.,To go to the end of the earth to get something.,1.0
128,129,ДОХОДИТЬ ДО чьих-либо УШЕЙ,dokhodit’ do ushey,To come to someone’s ears.,To become known to someone.,To reach someone’s ears.,1.0
129,130,ДРОЖИТ КАК ОСИНОВЫЙ ЛИСТ,drozhit kak osinovy list,One shakes like an aspen leaf.,One trembles violently (usually with excitement or fear).,To shake/quake like an aspen leaf.,1.0
148,149,ЗАДИРАТЬ HOC,zadirat’ nos,To lift up one’s nose.,"To act in a superior and affected manner; to become puffed up, conceited.",To turn up one’s nose; to put on airs; to cock one’s nose.,1.0
150,151,ЗАКИНУТЬ УДОЧКУ,zakinut’ udochku,To cast a line.,To make an indirect reference to something in order to find out more about it; to drop a hint by way of suggestion.,To put a line out; to put forth/send out a feeler.,1.0
153,154,ЗАКРЫВАТЬ на что-либо ГЛАЗА,zakryvat’ glaza,To close one’s eyes to something.,"To ignore, deliberately not to pay attention to or recognize something (especially, improper conduct).",To close/shut one’s eyes to something; to wink at something.,1.0
154,155,ЗАМЕСТИ СЛЕДЫ,zam’esti sl’edy,To sweep over one’s traces.,To destroy something that can be used as evidence; to conceal one’s movements or activities.,To cover up one’s tracks/traces.,1.0
158,159,ЗАТКНУТЬ ЗА ПОЯС,zatknut’ za poyas,To stick someone behind one’s belt.,"To surpass, to outstrip, to outdo someone.",To outshine someone; to knock someone into a cocked hat.,1.0
165,166,ЗОЛОТАЯ СЕРЕДИНА,zolotaya s’er’edina,The golden middle.,"The safe, prudent way between extremes; the principle of moderation.",The golden mean.,1.0
166,167,ЗОЛОТОЕ ДНО,zolotoye dno,A golden bottom.,An inexhaustible source of wealth.,A gold mine.,1.0
169,170,ИГРАТЬ ПЕРВУЮ СКРИПКУ,igrat’ pervuyu skripku,To play the first violin.,To play a leading role in some undertaking.,To play first fiddle,1.0
170,171,ИГРАТЬ С ОГНЁМ,igrat’ s ogn’om,To play with fire.,To trifle with something likely to prove dangerous without considering the consequences.,To play with edge-tools; to play with fire,1.0
176,177,ИДТИ ПРОТИВ ТЕЧЕНИЯ,itti protiv t’echeniya,To go against the stream.,"To act against the general trend of thought, opinion, custom, etc.",To go against the tide/current/stream.,1.0
177,178,ИЗЛИТЬ ДУШУ,izlit’ dushu,To pour out one’s soul.,To relieve one’s mind by talking about one’s troubles.,To unbosom oneself; to unburden one’s heart; to bare one’s heart/soul.,1.0
178,179,ИЗМЕРИТЬ кого-либо ВЗГЛЯДОМ,izm’erit’ vzgl’adom,To measure someone with one’s glance.,To examine someone closely from head to toe.,To look someone up and down; to measure someone with one’s eye.,1.0
181,182,ИМЕТЬ ВЕС,im’et’ v’es,To have weight.,To be highly influential or important.,To carry a lot of weight,1.0
185,186,ИСКАТЬ ИГОЛКУ В СТОГЕ СЕНА,iskat’ igolku v stog’e s’ena,To look for a needle in a bundle of hay.,To look for something or someone virtually impossible to find.,To look for a needle in a haystack,1.0
187,188,ИСПИТЬ ЧАШУ ДО ДНА,ispit’ chashu do dna,To drink the bowl to the bottom.,"To experience ordeals, hardships, sorrows, misfortunes in full measure.","To drink /drain the cup (of bitterness, sorrow, etc.) to the dregs.",1.0
196,197,КАК ВЕТРОМ СДУЛО,kak v’etrom sdulo,As if the wind blew it away.,Someone or something has rapidly and mysteriously disappeared without a trace.,To vanish into thin air.,1.0
198,199,КАК ГРОМ СРЕДИ ЯСНОГО НЕБА,kak grom sr’edi yasnovo n’eba,Like a thunder-clap out of a clear sky.,"Suddenly, unexpectedly (said of a sudden and surprising event generally of an unpleasant nature).",Like a bolt from the blue/out of a clear sky.,1.0
222,223,КАТИТЬСЯ ПОД ГОРУ,katittsa pod goru,To slide downhill,"To deteriorate, to decline, to become worse.",To go downhill,1.0
230,231,КРАЕУГОЛЬНЫЙ КАМЕНЬ,krayeugol’ny kam’en’,A corner-stone.,"Something indispensable, essential, of primary importance; a fundamental idea.",A corner-stone.,1.0
232,233,КРАСНЫЙ КАК РАК,krasny kak rak,Red as a lobster.,Red-faced; flushed with anger or embarrassment.,Red as a lobster.,1.0
249,250,ЛИТЬ КРОКОДИЛОВЫ СЛЁЗЫ,lit’ krokodilovy sl’ozy,To shed crocodile tears.,"To complain hypocritically; to show insincere, false sorrow.",To shed crocodile tears,1.0
253,254,ЛОМАТЬ ГОЛОВУ над чем-либо,lomat’ golovu,To break one’s head over something.,"To think hard, especially on a difficult problem.",To rack/cudgel one’s brains over something; to break one’s head over something.,1.0
254,255,ЛОМАТЬ КОПЬЯ,lomat’ kop’ya,To break spears.,To fight for something; to argue heatedly.,To break a lance with someone over something; to cross swords.,1.0
255,256,ЛОМИТЬСЯ В ОТКРЫТУЮ ДВЕРЬ,lomittsa v otkrytuyu dv’er’,To break through an open door.,To assert or try to prove something already well-known and undisputed.,To force at/knock at an open door.,1.0
269,270,МУРАШКИ БЕГАЮТ ПО СПИНЕ,murashki b’egayut po spin’e,Little ants run along one’s back.,"One feels shivery due to fear, horror, or nervous excitement.",To give one the creeps; to make one’s flesh creep; to feel chills run up and down one’s spine.,1.0
271,272,МУХИ НЕ ОБИДИТ,mukhi n’e obidit,He/she wouldn’t hurt a fly.,"He/she is meek, timid, gentle, kind.","He wouldn’t hurt, harm a fly; he won’t say ’boo’ to a goose.",1.0
283,284,НАЗЫВАТЬ ВЕЩИ СВОИМИ ИМЕНАМИ,nazyvat’ v’eshchy svoimi im’enami,To call things by their names.,"To speak frankly, plainly or bluntly.",To call things by their right/proper names; to call a spade a spade.,1.0
285,286,НАКЛЕИВАТЬ ЯРЛЫКИ,nakl’eivat’ yarlyki,To stick labels on someone or something.,To give a standard or stereotyped estimation of someone or something (usually of a negative nature).,To pin a label on someone.,1.0
297,298,НЕ ВИДЕТЬ ЛЕСА ЗА ДЕРЕВЬЯМИ,n’e videt’ l’esa za d’er’ev’yami,Not to see the wood beyond the trees.,To be unable to get a clear view of the whole because of too many details.,To be unable to see the forest/wood for the trees,1.0
308,309,НЕ УМЕТЬ ДВУХ СЛОВ СВЯЗАТЬ,n’e um’et’ dvukh slov sv’azat’,To be unable to tie two words together,To be unable to formulate one’s ideas or express one’s thoughts; to be incoherent,He can’t put two words together,1.0
332,333,ОКАЗАТЬСЯ МЕЖДУ ДВУХ ОГНЕЙ,okazattsa m’ezhdu dvukh ogn’ey,To find oneself between two fires.,"To be or find oneself between two equally serious evils or dangers, between equally unpleasant alternatives, in a perplexing situation; to be attacked from two directions; to be criticized from both sides.",Between the devil and the deep blue sea; between two fires,1.0
334,335,ОКАТИТЬ ХОЛОДНОЙ ВОДОЙ,okatit’ kholodnoy vodoy,To pour cold water over someone.,"To disparage someone, to discourage someone’s enthusiasm; to damp someone’s ardour; to throw someone into confusion.",To throw/ pour cold water on/over someone.,1.0
342,343,ОТКРЫВАТЬ кому-либо ГЛАЗА на кого-либо/что-либо,otkryvat’ glaza,To open someone’s eyes to someone or something,"To enable one to understand, to cause one be aware of or to realise a fact, truth, reality to which one had been blind.",To open someone’s eyes to something or someone,1.0
361,362,ПЛАТИТЬ ТОЙ ЖЕ МОНЕТОЙ,platit’ toy zhe mon’etoy,To pay someone back in the same coin.,To act by using on an opponent the same methods he employed against one; to return like for like; to retaliate.,To pay one back in his own coin; to pay/answer back in kind,1.0
364,365,ПЛЫТЬ ПО ТЕЧЕНИЮ,plyt’ po t’echeniyu,To go down stream,To do or think as most people do; to allow one’s actions and principles to be guided solely by the prevailing trend; to be carried away by the course of events.,To go/ swim with the stream/current; to follow the crowd.,1.0
365,366,ПОБЫВАТЬ В чьей-либо ШКУРЕ,pobyvat’ v shkur’e,To be in someone else’s hide.,To be in the same unpleasant position or adverse circumstances as someone else.,To be in someone’s shoes/skin,1.0
372,373,ПОДЖАТЬ ХВОСТ,podzhat’ khvost,To turn one’s tail between one’s legs,"To become more cautious, circumspect; to cease boasting; to become less self-assured.",To have/put one’s tail between one’s legs; to sing small,1.0
373,374,ПОДЛИТЬ МАСЛА В ОГОНЬ,podlit’ masla v ogon’,To add oil to the fire.,To act or speak in such a way as to increase the existing passion or excitement; to aggravate the trouble; to make a bad matter worse.,To add fuel to the fire,1.0
377,378,ПОД НОСОМ,pod nosom,Under one’s nose.,Directly in front of one; in plain view; in one’s presence.,Near at hand; under someone’s very nose; before someone’s face,1.0
380,381,ПОДРЕЗАТЬ кому-либо КРЫЛЬЯ,podr’ezat’ kryl’ya,To clip someone’s wings,"To limit one’s movements, activities; to hamper one’s freedom of action; to destroy one’s self- confidence; to undermine one’s power or ability to do something.",To clip/cut someone’s wings/claws,1.0
382,383,ПОЖИНАТЬ ПЛОДЫ,pozhinat’ plody,To reap the fruits,"To experience the results of one’s actions, deeds, behaviour.",To reap the fruits of something.,1.0
389,390,ПОЛОЖА РУКУ НА СЕРДЦЕ,polozha ruku na sertse,With one’s hand on one’s heart.,"To say something quite frankly, candidly, sincerely.","To say something with one’s hand upon one’s heart, open-heartedly",1.0
394,395,ПО ПАЛЬЦАМ МОЖНО СОСЧИТАТЬ,po pal’tsam mozhno soshchitat’,They can be counted on one’s fingers.,Very few; in small quantities.,You can count them on your fingers,1.0
413,414,ПОСТАВИТЬ кого-либо НА СВОЁ МЕСТО,postavit’ na svoyo m’esto,To put someone in his place,To snub a person who is overstepping his bounds; to check someone’s presumption,To put someone in his place. To rest on one’s laurels,1.0
415,416,ПРИБИРАТЬ К РУКАМ,pribirat’ k rukam,To take something in one’s hands,"To appropriate, to seize, to take possession of.",To lay one’s hands on something,1.0
421,422,ПРОБНЫЙ ШАР,probny shar,A trial ball.,An approach or device (usually by making discreet inquiries) used to clarify a situation or test the opinions or feelings of others.,A trial balloon; a feeler,1.0
427,428,ПРОЙТИ СКВОЗЬ ОГОНЬ И ВОДУ,proyti skvoz’ ogon’ i vodu ,To go through fire and water,To go through a great deal in life; to encounter or face | the greatest dangers or hardest experiences; to endure perils of all kinds,To go through fire and water; to go through the mill,1.0
434,435,ПУСКАТЬ кому-либо ПЫЛЬ В ГЛАЗА,puskat’ pyl’ v glaza,To throw dust in someone’s eyes,"To make a false impression; to try to impress people with one’s superiority, to display oneself; to act in an ostentatious manner",To put on airs; to cut a dash; to throw dust in someone’s eyes,1.0
440,441,РАЗВЯЗАТЬ кому-либо РУКИ,razv’azat’ ruki,To untie someone’s hands.,"To give someone freedom of action, choice or judgement in a matter.",To give someone a free hand; to untie someone’s hands.,1.0
441,442,РАЗВЯЗАТЬ ЯЗЫК,razv’azat’ yazyk,To untie one’s tongue,To begin to talk a lot; to speak after having remained silent.,To loosen one’s tongue; to find one’s tongue’s tongue.,1.0
445,446,РВАТЬ НА СЕБЕ ВОЛОСЫ,rvat’ na s’ebe volosy,To tear one’s hair.,To be desperate; to be distressed; to grieve.,To tear one’s hair.,1.0
449,450,РОДИТЬСЯ ПОД СЧАСТЛИВОЙ ЗВЕЗДОЙ,rodittsa pod schaslfvoy zv’ezdoy,To be born under a lucky star.,"To be always lucky, successful, happy",To always fall on one’s feet; to be born under a lucky star,1.0
451,452,"РУБИТЬ СУК, НА КОТОРОМ СИДИШЬ",rubit’ suk na kotorom sidish,To be hewing down a bough on which you are sitting.,To act in such a way as to do oneself harm.,To cut one’s own throat; to saw off the bough on which one is sitting,1.0
456,457,РУКИ ЧЕШУТСЯ,ruki cheshutsa,One’s hands are itching.,Someone is anxious to do something.,One’s fingers/hands itch to do something.,1.0
464,465,СБРАСЫВАТЬ МАСКУ,sbrasyvat’ masku,To throw off the mask.,"To show one’s true self, one’s true character and intentions.",To throw off the mask,1.0
466,467,СВОДИТЬ КОНЦЫ С КОНЦАМИ,svodit’ kontsy s kontsami,To bring the ends together.,With great effort or difficulty to balance one’s income with one’s expenditures; to manage with one’s resources.,To make both ends meet.,1.0
467,468,СВОРОТИТЬ ГОРЫ,svorotit’ gory,To shift mountains.,To do something important which calls for great effort.,To move mountains.,1.0
468,469,СВЯЗАТЬ кого-либо ПО РУКАМ И НОГАМ,To tie someone’s hands and feet,hands and feet.,To deprive someone of the possibility to act freely; to completely restrain someone’s activities by conditions or rules.,To bind/tie someone hand and foot,1.0
479,480,СЖЕЧЬ КОРАБЛИ/МОСТЫ,szhech korabli/mosty,To burn the ships /bridges.,"To take an irrevocable step; to do something that makes it impossible to retreat, to change one’s plans, etc.",To burn one’s boats/bridges.,1.0
484,485,СКОЛЬЗИТЬ ПО ПОВЕРХНОСТИ,skol’zit’ ро pov’erkhnosti,To glide on the surface.,To deal with a subject only superficially; to pay attention to outward appearances without going to the root of the matter.,To skim the surface of something never to go below the surface.,1.0
487,488,С ЛЁГКИМ СЕРДЦЕМ,s l’okhkim s’ertsem,With a light heart.,"Free from sorrow, discomfort, anxiety, misgivings.",With a light heart.,1.0
490,491,СЛОМАТЬ ЛЁД,slomat’ l’od,To break the ice.,"To put an end to formality, stiffness or shyness in one’s relations with people; to make the first step; to mark the beginning; to cause any matter to start moving.",To start the ball rolling; to break the ice,1.0
491,492,С ЛУНЫ СВАЛИЛСЯ,s luny svalils’a,One has fallen from the moon.,Someone is puzzled; someone doesn’t understand what is evident to everyone.,As if he were born yesterday; to fall from the moon.,1.0
502,503,СМОТРЕТЬ СКВОЗЬ ПАЛЬЦЫ,smotr’et’ skvoz’ pal’tsy,To look through one’s fingers.,To purposely avoid seeing; to deliberately ignore a piece of misconduct or a transgression; to refuse to observe something; to connive at; to wink at.,To make light of; to turn a blind eye to; to look the other way; to look through one’s fingers.,1.0
503,504,СМОТРЕТЬ СКВОЗЬ РОЗОВЫЕ ОЧКИ,smotr’et’ skvoz’ rozovyve ochki,To look through rose-coloured glasses.,Not to see a person’s shortcomings: to take too optimistic a view of someone or something.,To view/look through rose coloured-glasses,1.0
506,507,СНЯТЬ перед кем-либо ШЛЯПУ,sn’at’ shl’apu,To take off one’s hat before someone.,"To express respect, admiration for a person’s achievements.",To take off one’s hat to someone,1.0
508,509,СОВАТЬ HOC во что-либо,sovat’ nos,To stick one’s nose into something.,To meddle in or interfere with other people’s affairs; to intrude where one is not wanted.,To poke / stick one’s nose into something,1.0
522,523,СТАНОВИТЬСЯ НА ДЫБЫ,stanovittsa na dyby,To stand up on one’s hind legs.,To resist; to protest; to display stubbornness.,To rear up; to stand up on one’s hind legs,1.0
533,534,СТРОИТЬ НА ПЕСКЕ,stroit’ na p’esk’e,To build something on sand.,"To make plans, organise a scheme, etc., on an insecure foundation.",To build on sand.,1.0
534,535,С ТЯЖЁЛЫМ СЕРДЦЕМ,s t’azholym s’ertsem,With a heavy heart.,"To be anxious, depressed, in low spirits: to have a presentiment that something unpleasant or undesirable is about to happen.",With a heavy heart,1.0
538,539,ТАСКАТЬ КАШТАНЫ ИЗ ОГНЯ,taskat’ kashtany iz ogn’a,To pull the chestnuts out of the fire. ,To do the hardest and the most painstaking part of some job for someone else’s benefit.,To pull the chestnuts out of the fire,1.0
541,542,ТЕРЯТЬ ГОЛОВУ,t’er’at’ golovu,To lose one’s head.,"To become flustered, confused, panic stricken; to lose one’s self-control.",To lose one’s head/wits; to lose one’s presence of mind.,1.0
552,553,УДАРИТЬ ПО РУКАМ,udarit’ po rukam,To strike each other’s hands.,To confirm an agreement or a business deal; to strike a bargain.,To shake hands on it.,1.0
553,554,УЗНАТЬ что-либо ИЗ ПЕРВЫХ РУК,uznat’ is pervykh ruk,To learn something from the first hands.,To receive information direct from a primary source without intermediaries.,At first hand.,1.0
558,559,УМЫВАТЬ РУКИ,umyvat’ ruki,To wash one’s hands,To divest oneself of any further connection with or responsibility for something; to abandon the matter entirely.,To wash one’s hands of something.,1.0
561,562,УСТРАИВАТЬ СЦЕНУ,ustraivat’ stsenu,To make a scene.,"To start a noisy or violent argument, quarrel or scrap with someone, expressing one’s dissatisfaction, irritation, etc.",To stage/kick up a row; to make a scene.,1.0
567,568,ХВАТАТЬСЯ ЗА СОЛОМИНКУ,khvatattsa za solominku,To clutch at a straw.,"When in extreme danger, difficulty, etc., to try to seize any chance, however small or useless, of getting out of it.",To catch/clutch at a straw,1.0
570,571,ХОДИТЬ ПО КРАЮ ПРОПАСТИ,khodit’ ро krayu propasti,To walk on a brink of an abyss.,To be in imminent mortal danger; to be on the verge of a disaster.,On a brink of a precipice,1.0
577,578,ЧЕРЕЗ чью-либо ГОЛОВУ,cher’ez golovu,Over someone’s head.,To do something without informing one’s immediate superior; to apply to a higher authority by passing an intermediate one.,To go over someone’s head,1.0
580,581,ЧЁРНЫМ ПО БЕЛОМУ,chornym po b’elomu,In black on white.,"To declare or state something definitely, clearly, distinctly.",In black and white,1.0
581,582,ЧЁРТОВА ДЮЖИНА,chortova d’tizhina,A devil’s dozen.,Thirteen.,A devil’s/a baker’s dozen,1.0
583,584,ЧИТАТЬ МЕЖДУ СТРОК,chitat’ m’ezhdu strok,To read between the lines.,To discern the concealed meaning; to draw conclusions which are not obvious in something said or written.,To read between the lines.,1.0
589,590,ШУТКИ В СТОРОНУ,shutki v storonu,Jokes aside.,Speaking seriously; it’s a serious matter; let’s get down to business.,Joking apart/aside; all kidding aside.,1.0
591,592,ЯЗЫК СЛОМАЕШЬ,yazyk slomayesh,You can break your tongue.,It’s very difficult to pronounce a word or a phrase.,You can break /twist your tongue,1.0
593,594,ЯСНО КАК ДЕНЬ,yasno kak d’en’,Clear as day.,"Easy to see or comprehend; quite evident, obvious; as plain or clear as can be.",As plain as the nose on your face; as plain as day,1.0
