,id,head_ru,transliteration,literal,meaning,equivalents,transparency
33,34,ВАЛИТЬ С БОЛЬНОЙ ГОЛОВЫ НА ЗДОРОВУЮ,valit’ s bol’noy golovy na zdorovuyu,To shift something from an ailing head onto the one that doesn’t ail.,To blame someone else for one’s own fault.,To lay one’s blame at someone else’s door; to shift the blame on someone,0.0
34,35,ВАЛИТЬСЯ ИЗ РУК,valittsa iz ruk,To fall out of one’s hands.,"Something doesn’t go well because one is awkward, clumsy, doesn’t feel like doing it, or doesn’t have his heart in it.",,0.0
35,36,ВАРИТЬСЯ В СОБСТВЕННОМ СОКУ,varittsa v sobstv’ennom soku,To stew in one’s own juice.,To keep solitary or apart from other people making no use of other people’s knowledge and experience; to work solely by oneself without contact with others; to avoid social relations.,To be aloof; to keep to oneself,0.0
40,41,ВЕШАТЬ HOC,v’eshat’ nos,To hang one’s nose.,"To be crest-fallen, discouraged, despondent; to look dejected.",,0.0
42,43,ВЗДОХНУТЬ СВОБОДНО,vzdokhnut’ svobodno,To breathe freely.,To feel relieved of one’s cares or troubles.,To give a sigh of relief,0.0
46,47,ВЗЯТЬ СЛОВО,vz’at’ slovo,To take the word.,To rise to speak in a debate at one’s own request or initiative.,To take the floor,0.0
48,49,ВИДНО КАК НА ЛАДОНИ,vidno kak na ladoni,Seen as if it were on the palm of one’s hand,"Spread before the eyes, in plain sight easy to see or comprehend.",As plain as the nose on your face,0.0
49,50,ВИДНО ПТИЦУ ПО ПОЛЁТУ,vidno ptitsu po pol’otu,A bird is seen by its flight.,You can judge a person by his actions and behaviour.,,0.0
50,51,ВИЛАМИ НА ВОДЕ ПИСАНО,vilami na vod’e pisano,Written with a pitchfork on the water.,"It’s uncertain, not defined, vague; it may or may not come off.",It’s still all up in the air,0.0
53,54,ВИСЕТЬ НА ТЕЛЕФОНЕ,vis’et’ na t’el’efon’e,To be hanging on the telephone.,"To talk incessantly on the telephone, to spend hours on the telephone.",To sit on the phone,0.0
55,56,ВИТЬ ВЕРЁВКИ из кого-либо,vit’ v’er’ovki,To plait ropes out of someone.,To have a strong influence on someone; to have a person entirely subservient to one’s will.,To twist someone around one’s little finger,0.0
58,59,ВЛЮБИТЬСЯ ПО УШИ,vl’ubittsa po ushy,To fall in love up to one’s ears.,To be deeply enamoured of someone.,To be head over heels in love,0.0
60,61,ВОДИТЬ кого-либо ЗА НОС,vodit’ za nos,To lead someone by the nose.,"To deceive, delude, mislead someone; to make promises and not keep them.",To make a fool of someone; to pull/draw the wool over someone’s eyes; to lead someone on,0.0
61,62,ВОДОЙ HE РАЗОЛЬЁШЬ,vodoy n’e razol’yosh,You couldn’t split them apart with water.,"To be very good friends, close to each other; inseparable from each other; to be always together.",As thick as thieves,0.0
62,63,ВОДЫ НЕ ЗАМУТИТ,vodý n’e zamutit,He wouldn’t muddy the water.,"One who has extremely demure expression and manner; one who is quiet, meek, gentle.",He wouldn’t hurt a fly; he looks as if butter wouldn’t melt in his mouth,0.0
67,68,ВОТ ГДЕ СОБАКА ЗАРЫТА,vot gd’e sobaka zaryta,Here’s where the dog is buried.,"That’s the main reason, the main point; that’s where the problem lies.",That’s the heart of the matter; that’s the crux of the matter,0.0
70,71,ВРАСТАТЬ КОРНЯМИ,vrastat’ korn’ami,To take root.,To become permanently and firmly established; to become attached to something; to get fully accustomed to something.,,0.0
74,75,ВСТРЕЧАТЬ В ШТЫКИ,vstr’echat’ v shtyki,To meet someone or something with bayonets.,To give a hostile reception to someone or something.,,0.0
75,76,ВСТУПИТЬ В СТРОЙ,vstupit’ v stroy,To step into formation.,"To come into operation, to become operative.",,0.0
76,77,В УС НЕ ДУТЬ,v us n’e dut’,Not to blow into one’s moustache.,Not to care at all; not to show any sign of emotion.,Not to give a damn/a hang; not to turn a hair,0.0
79,80,ВЫБИТЬ ИЗ СЕДЛА,vybit’ is s’edla,To knock someone out of the saddle.,To deprive someone of his position or role in society; to undermine someone’s confidence in something completely; to disturb someone’s peace of mind.,,0.0
81,82,ВЫВОДИТЬ кого-либо ИЗ СЕБЯ,vyvodit’ is s’eb’a,To lead someone out of himself.,"To exasperate, irritate someone.",To drive someone out of his wits/mind; to put someone beside himself,0.0
82,83,ВЫВОДИТЬ ИЗ СТРОЯ,vyvodit’ is stroya,To take out of formation.,"To disable something, to put something out of operation.",,0.0
83,84,ВЫВОДИТЬ кого-либо НА ЧИСТУЮ ВОДУ,vyvodit’ na chistuyu vodu,To conduct someone out onto pure water.,To bring someone’s misdeeds to light; to expose someone.,To show someone in his true colours; to unmask.,0.0
86,87,ВЫЙТИ ИЗ СЕБЯ,vyyti is s’eb’a,To come out of oneself.,To be carried away by excitement; to lose control of oneself; to be wrought up.,To lose one’s temper; to fly off the handle.,0.0
87,88,ВЫЙТИ ИЗ СТРОЯ,vyyti is stroya,To step out of formation.,"To be disabled, to become unserviceable; to break down; to be put out of action.",,0.0
88,89,ВЫЙТИ СУХИМ ИЗ ВОДЫ,vyyti sukhim iz vody,To come out of the water dry.,To escape deserved punishment; to come out with one’s reputation unblemished.,To come out unscathed; to get off scot-free.,0.0
89,90,ВЫЛЕТЕТЬ В ТРУБУ,vyl’et’et’ v trubu,To fly through the chimney,"To come to ruin financially, to go bankrupt; to have no money at all.",To go bust/smash.,0.0
90,91,ВЫНЕСТИ что-либо НА СВОИХ ПЛЕЧАХ,vyn’esti na svoikh pl’echakh,To bear something on one’s own shoulders.,To take the whole burden of something; to endure the stress or strain of a difficult undertaking.,To bear the brunt of something,0.0
91,92,ВЫНОСИТЬ COP ИЗ ИЗБЫ,vynosit’ sor iz izby,To carry the rubbish out of one’s hut.,"To let the outside world know about one’s private troubles, grievances, quarrels, conduct that might be regarded as disreputable; to utter abroad affairs not meant for the public ear.",To wash one’s dirty linen in public; to tell tales out of school,0.0
92,93,ВЫРАСТАТЬ В чьих-либо ГЛАЗАХ,vyrastat’ v glazakh,To grow in someone’s eyes.,To rise in someone’s esteem; to grow or improve in someone’s opinion.,,0.0
94,95,ВЫСОСАТЬ что-либо ИЗ ПАЛЬЦА,vysosat’ is pal’tsa,To suck something out of one’s finger.,"To allege something which has no foundation in actual fact, absolutely groundless; to fabricate.",To make something up; to spin something out of thin air.,0.0
95,96,ВЫТЯГИВАТЬСЯ В СТРУНКУ,vyt’agivattsa v strunku,To stretch oneself into a string.,To stand stiffly erect; to stand at attention.,,0.0
99,100,ГЛАЗА РАЗБЕГАЮТСЯ,glaza razb’egayutsa,One’s eyes are running in different directions.,One doesn’t know what to look at first; one is dazzled by the sight of so many things; one is unable to concentrate on one thing.,,0.0
100,101,ГЛАЗА РАЗГОРЕЛИСЬ,glaza razgor’elis’,One’s eyes have lit up.,One desires something earnestly; one is looking longingly or desiringly at something.,To be dying for,0.0
101,102,ГОВОРИТЬ ПОД РУКУ,govorit’ pod ruku,To speak to someone’s hand.,To say something at the wrong time; to disturb someone when he is concentrating on something; to distract someone by talking.,To put someone off.,0.0
104,105,ГОРИТ В РУКАХ,gorit v rukakh,It is burning in one’s hands.,"The work is being done quickly, energetically, deftly; the work is going fine.",Someone has clever hands; someone is working like lightning,0.0
106,107,ГУСЕЙ ДРАЗНИТЬ,gus’ey draznit’,To tease the geese.,"To irritate, to annoy someone (often without purpose or reason); to provoke ill feelings.",,0.0
107,108,ДАВАТЬ кому-либо СДАЧИ,davat’ zdachi,To give someone the change.,To retaliate as vigorously as one is attacked; to give as good as one got; to return insult for insult.,To answer in kind,0.0
108,109,ДАЛЬШЕ ЕХАТЬ НЕКУДА,dal’she yekhat’ n’ekuda,You can’t go farther.,Things couldn’t be worse; that’s the end of it; that’s the limit.,,0.0
109,110,ДВА САПОГА ПАРА,dva sapoga para,Two boots make a pair.,"They are alike; (usually with reference to disposition, tastes, conduct, etc.); they are well matched; they deserve each other; one is no better than the other.",They make a pair; birds of one feather; not a pin to choose between them,0.0
110,111,ДЕЛАТЬ ИЗ МУХИ СЛОНА,d’elat’ iz mukhi slona,To make an elephant out of a fly.,To exaggerate the importance of a small matter.,To make a mountain out of a molehill,0.0
111,112,ДЕЛАТЬ ПОГОДУ,d’elat’ pogodu,To make the weather.,"To determine the course of events, to affect a matter directly; to have a decisive influence on a matter.",,0.0
112,113,ДЕЛАТЬ что-либо С ЗАКРЫТЫМИ ГЛАЗАМИ,d’elat’ z zakrytymi glazami,To do something with one’s eyes closed,"To do something without thinking, carelessly, rashly.",,0.0
113,114,ДЕЛАТЬ что-либо СПУСТЯ РУКАВА,d’elat’ spust’a rukava,To do something with one’s sleeves lowered.,To do something carelessly without paying attention to it; to fail to tend properly to affairs; to do something in a slipshod manner.,To let things slide,0.0
115,116,ДЕНЕГ КУРЫ HE КЛЮЮТ,d’en’eg kury n’e kl’uyut,The hens don’t peck at the money.,One has plenty of money.,Rolling in money,0.0
116,117,ДЕРЖАТЬ В ЧЁРНОМ ТЕЛЕ,d’erzhat’ v chornom t’el’e,To keep in a black body.,"To ill-treat, to treat someone roughly; to hold in subjection.",,0.0
117,118,ДЕРЖАТЬ КАМЕНЬ ЗА ПАЗУХОЙ,derzhat’ kam’en’ za pazukhoy,To keep a stone inside one’s shirt.,To secretly bear a grudge against someone; to nurse a grievance; to harbour thoughts of revenge; to have evil intentions.,,0.0
118,119,ДЕРЖАТЬ HOC ПО ВЕТРУ,d’erzhat’ nos po v’etru,To keep one’s nose to the wind.,"To adapt to circumstances, unscrupulously altering one’s convictions or behaviour; to adjust to the situation.",To trim one’s sails to the wind,0.0
120,121,ДЕРЖАТЬ УХО ВОСТРО,d’erzhat’ ukho vostro,To keep one’s ear sharp.,"To behave circumspectly, to act with caution; to be on guard; to mistrust someone.",To watch one’s step; to be on the qui vive; to keep one’s eyes peeled.,0.0
124,125,ДОВОДИТЬ ДО БЕЛОГО КАЛЕНИЯ,dovodit’ do b’elovo kal’eniya,To bring to a white heat.,"To drive someone to a frenzy, to infuriate, to rouse to fury; to make someone lose his self-control.",,0.0
127,128,ДО УПАДУ,do upadu,Till one falls down.,"To the point of exhaustion, till one drops.",,0.0
130,131,ДУША НАРАСПАШКУ,dusha naraspashku,One’s soul is open (unbuttoned).,"To be frank, sincere candid, straightforward.",Open-hearted.,0.0
131,132,ДУША HE НА МЕСТЕ,dusha n’e na m’est’e,One’s soul is not in its place.,To be anxious; to feel uneasy.,,0.0
134,135,ЕСТЬ ЕЩЁ ПОРОХ В ПОРОХОВНИЦАХ,yest’ yeshcho porokh v porokhovnitsakh,There is still some gunpowder in the powder-flasks.,Still full of vim and vigour; still able to fight or to do something important.,We are not licked yet,0.0
135,136,ЕХАТЬ ЗАЙЦЕМ,yekhat’ zaytsem,To ride as a hare.,To travel without paying for a ticket.,,0.0
136,137,ЖДАТЬ У МОРЯ ПОГОДЫ,zhdat’ u mor’a pogody,To wait by the sea for the weather.,To indulge in vain hopes without taking any steps to realize them; to waste one’s time neglecting one’s opportunities.,To let the grass grow under one’s feet.,0.0
137,138,ЖИТЬ ДУША В ДУШУ,zhit’ dusha v dushu,To live soul and soul together.,"To live in peace, harmony, concord or perfect amity with someone.",,0.0
140,141,ЖИТЬ НА ШИРОКУЮ НОГУ,zhit’ na shirokuyu nogu,To live on a broad foot.,"To live in luxury; to live sumptuously, sparing no expense.",To live like a lord; to live in grand style,0.0
141,142,ЖИТЬ ПРИПЕВАЮЧИ,zhit’ prip’evayuchi,To live humming a tune.,To live in comfortable circumstances; to live happily.,To be in clover,0.0
142,143,ЗАБЛУДИТЬСЯ В ТРЁХ СОСНАХ,zabludittsa v tr’okh sosnakh,To lose one’s way among three pines. ,To fail to find a solution to a simple problem; to fail to comprehend something elementary. ,To lose one’s way in broad daylight.,0.0
144,145,ЗАГЛЯДЫВАТЬ В ДУШУ,zagl’adyvat’ v dushu,To peep into someone’s soul,To try to fathom someone’s innermost thoughts; to try to find out what is in someone else’s heart.,,0.0
145,146,ЗАГОВАРИВАТЬ ЗУБЫ,zagovarivat’ zuby,To talk someone’s teeth.,To evade the issue with irrelevant talk.,To put someone off with fair words.,0.0
146,147,ЗАДАТЬ ПЕРЦУ,zadat’ p’ertsu,To give pepper.,To rate someone soundly and severely; to punish someone.,To give it hot to someone; to make it hot for someone.,0.0
147,148,ЗАДЕТЬ ЗА ЖИВОЕ,zad’et’ za zhivoye,To graze a raw place.,"To excite greatly, to thrill; to stir someone’s self-esteem or pride.",To cut/sting to the quick,0.0
152,153,ЗАКРАДЫВАТЬСЯ В ДУШУ,zakradyvattsa v dushu,To creep into someone’s soul.,To creep or steal into one’s mind (said of thoughts or feelings),,0.0
155,156,ЗАМКНУТЬСЯ В СЕБЕ,zamknuttsa v s’eb’e,To get locked up in one’s own self.,To become less sociable and more reserved; to withdraw from the society of one’s fellows; to retire into oneself.,To shut oneself up; to withdraw/retire into one’s shell.,0.0
156,157,ЗАМОРИТЬ ЧЕРВЯЧКА,zamorit’ cherv’achka,To underfeed the little worm.,To have a little to eat.,To have a snack; to have a bite; to take the edge off one’s hunger.,0.0
157,158,ЗАРУБИТЬ НА НОСУ,zarubit’ na nosu,To make a notch on one’s nose.,"To remember something firmly, forever.",Bear it in mind; put that into your pipe and smoke it.,0.0
159,160,ЗВЁЗД С НЕБА НЕ ХВАТАЕТ,zv’ozd s n’eba n’e khvatayet,He/she doesn’t snatch stars from the sky.,One isn’t a remarkable person; one is a person of average or mediocre abilities.,He won’t set the Thames/world on fire,0.0
164,165,ЗНАТЬ МЕРУ,znat’ m’eru,To know the measure.,To know one’s limits; to be moderate; to know when to stop.,,0.0
168,169,ЗОНДИРОВАТЬ ПОЧВУ,zondirovat’ pochvu,To probe the ground.,"To try cautiously to discover someone’s inclinations, to test the views of others, to sound out one’s chances of success beforehand.",To find out how the things stand; to explore the ground; to put forth/throw out a feeler.,0.0
173,174,ИДТИ КУДА ГЛАЗА ГЛЯДЯТ,itti kuda glaza gl’ad’at,To walk wherever one’s eyes are looking.,To wander aimlessly; to go wherever one’s feet will carry one.,,0.0
179,180,ИЗ ОДНОГО ТЕСТА,iz odnovo t’esta,Made of the same dough.,"They are just about the same in disposition, tastes, etc.",Two of a kind; the same breed; cut from the same cloth; birds of one feather.,0.0
183,184,ИСКАТЬ ВЧЕРАШНИЙ ДЕНЬ,iskat’ vcherashny d’en’,To search for yesterday.,To waste time on a hopeless quest.,To go on a wild-goose chase,0.0
184,185,ИСКАТЬ / НЕ НАЙТИ ДНЁМ С ОГНЁМ,iskat’/n’e nayti dn’om s ogn’om,To search for someone or something by day with a light,To seek in vain; to look hard for someone or something with little chance of finding; it’s nowhere to be found.,You will not find it in a month of Sundays; you can’t get it for love or money.,0.0
186,187,ИСКРЫ ИЗ ГЛАЗ ПОСЫПАЛИСЬ,iskry iz glaz posypalis’,Sparks began to pour out of one’s eyes.,"A sensation of light flashing before one’s eyes, caused by a blow in the face or on the head.",To see stars,0.0
188,189,ИСПОРТИТЬ ВСЮ МУЗЫКУ,isportit’ vs’u muzyku,To spoil all the music,To upset a plan; to disrupt the procedure; to cause disturbance.,To upset someone’s apple-cart; to play the very devil with something.,0.0
189,190,И УХОМ HE ВЕДЁТ,i ukhom n’e v’ed’ot,Doesn’t wiggle an ear.,One doesn’t pay the least attention to something; one doesn’t react at all; one deliberately shows indifference.,Without batting an eyelid,0.0
190,191,ИЩИ ВЕТРА В ПОЛЕ,ishchi v’etra v pol’e,Look for the wind in the field.,It’s gone without leaving a trace; it’s nowhere to be found and it can never be returned.,To look for a needle in a haystack; to go on a wild-goose chase.,0.0
191,192,КАК АРШИН ПРОГЛОТИЛ,kak arshin proglotil,As if one had swallowed an arshin (a ruler one arshin in length equivalent to 28 inches),"Unnaturally erect, quite stiff; rigid, upright in bearing.",As stiff as a poker.,0.0
192,193,КАК БЕЗ РУК,kak b’ez ruk,As if without the hands.,To feel quite helpless without something or someone.,,0.0
193,194,КАК В АПТЕКЕ,kak v apt’ek’e,Just like at the chemist’s.,"Exactly, precisely; just so, just right.",To a T.,0.0
194,195,КАК В ВОДУ ГЛЯДЕЛ,kak v vodu gl’ad’el,Like having looked into the water.,As if something had been known beforehand; someone was able to foresee future events.,He must have second sight,0.0
195,196,КАК В ВОДУ ОПУЩЕННЫЙ,kak v vodu opushchenny,As if lowered into the water.,"Dejected, downcast, depressed, crest-fallen.",To be down in the chops/mouth,0.0
197,198,КАК ГОРА С ПЛЕЧ СВАЛИЛАСЬ,kak gora s pl’ech svalilas’,As if a mountain had fallen off one’s shoulders.,"Someone is relieved of anxiety, doubt, cares.",A load off one’s mind,0.0
199,200,КАК ДВАЖДЫ ДВА ЧЕТЫРЕ,kak dvazhdy dva cheryr’e,Like two times two is four.,Easy to see or comprehend; as plain or clear as can be; obvious to everyone.,As plain as a pikestaff; as plain as the nose on your face.,0.0
200,201,КАК ДВЕ КАПЛИ ВОДЫ,kak dv’e kapli vody,Like two drops of water.,To bear a very close resemblance; to be exactly alike.,As like as two peas in a pod; not a pin to choose between them.,0.0
201,202,КАК ЗА КАМЕННОЙ СТЕНОЙ,kak za kam’ennoy st’enoy,As though behind a stone wall.,To be well protected; to be very secure; to be perfectly safe.,As safe as houses.,0.0
202,203,КАК ИЗ-ПОД ЗЕМЛИ ВЫРОС,kak is-pod z’emli vyros,As if grown up from under the ground.,"Someone appeared all of a sudden, unexpectedly, from nowhere.",Out of the blue.,0.0
203,204,КАК ИЗ РОГА ИЗОБИЛИЯ,kak iz roga izobiliya,As if out of the horn of plenty.,"In great plenty, in abundance",,0.0
204,205,КАК КОРОВА ЯЗЫКОМ СЛИЗАЛА,kak korova yazykom slizala,As if a cow has licked it off with its tongue.,Someone or something has disappeared without a trace.,To vanish/disappear into thin air.,0.0
206,207,КАК НЕБО ОТ ЗЕМЛИ,kak n’ebo ot z’emli,As far off as heaven from earth.,"To differ essentially, sharply, strongly.",There is a world of difference between them,0.0
207,208,КАК ОБ СТЕНКУ ГОРОХ,kak ob st’enku gorokh,Like throwing peas against the wall.,To say something to which not the slightest attention is paid (often uttered in irritation).,You might as well talk to a brick wall/to the wind,0.0
208,209,КАК ПО МАСЛУ,kak po maslu,Like sliding on oil.,"Things are going well, smoothly, swimmingly, without any obstruction or complication.",Like clockwork; without a hitch,0.0
209,210,КАК ПО НОТАМ РАЗЫГРАТЬ,kak po notam razygrat’,As if played from music.,"To accomplish something without any difficulty, efficiently, according to a carefully thought-out plan; to perform something with clockwork precision.",,0.0
210,211,КАК РУКОЙ СНЯЛО,kak rukoy sn’alo,As if taken off by the hand.,"Suddenly gone, completely disappeared as if by magic (usually said of pain or fatigue)",,0.0
211,212,КАК РЫБА В ВОДЕ,kak ryba v vod’e,Like a fish in water.,To feel free and easy; to be in suitable or satisfying surroundings; to find something natural and easy to do.,To feel in one’s element; to feel quite at home; to take to something like a duck to water; like a fish in water,0.0
215,216,КАК СНЕГ НА ГОЛОВУ,kak sn’eg na golovu,Like snow onto the head.,To appear or arrive suddenly and unexpectedly.,To come like a bolt from/out of the blue; to drop from the clouds.,0.0
216,217,КАК ЧЁРТ ОТ ЛАДАНА,kak chort ot ladana,Like the devil running away from the incense.,To get rid of or shun someone or something.,To avoid someone or something like the plague,0.0
218,219,КАМЕНЬ С ДУШИ СВАЛИЛСЯ,kamen’s dushy svalils’a,A stone has fallen off one’s heart.,"Someone feels relieved of a burden of an unpleasant, sad or oppressive feeling.",A load off one’s mind,0.0
219,220,КАМНЯ НА КАМНЕ HE ОСТАВИТЬ,kamn’a na kamn’e n’e ostavit’,Not to leave one stone upon another stone.,To criticize something severely by pointing out the weak points or faults; to utterly demolish an argument.,To pull/take something to pieces; to make mincemeat of something.,0.0
221,222,КАТАТЬСЯ КАК СЫР В МАСЛЕ,katattsa kak syr v masl’e,To be rolling like cheese in butter.,To be comfortably off.,To live in clover; to live on the fat of the land; to live like a king.,0.0
223,224,КАШИ НЕ СВАРИШЬ с кем-либо,kashy n’e svarish,You won’t cook kasha with someone.,You can’t get on with someone; you won’t get anywhere with someone; it’s difficult to work with someone.,,0.0
224,225,КИДАЕТ В ЖАР,kidayet v zhar,Thrown into a heat.,He/she becomes extremely agitated or anxious; he/she feels hot all over.,,0.0
225,226,КЛЕВАТЬ НОСОМ,kl’evat’ nosom,To peck with one’s nose.,To nod; to be drowsy.,,0.0
227,228,КОГДА РАК СВИСТНЕТ,kogda rak svisn’et,When the crayfish whistles.,No one knows when; never.,When pigs fly; when two Fridays come together,0.0
228,229,КОТ НАПЛАКАЛ,kot naplakal,Something the cat cried out.,Very little; practically nothing; nothing to speak of.,,0.0
229,230,КОШКИ СКРЕБУТ НА ДУШЕ,koshki skr’ebut na dushe,Cats are scratching on one’s soul.,"To be melancholy, sad, depressed; to be anxious about something.",To be sick at heart; to have the blues.,0.0
234,235,КРИЧАТЬ о чём-либо НА ВСЕХ ПЕРЕКРЁСТКАХ,krichat’ na vs’ekh p’er’ekr’ostkakh,To shout about something at all cross-roads.,To announce something in the most public manner possible; to make something generally known to a wide public; to talk constantly about something.,To cry/shout from the house-tops.,0.0
235,236,КРОВЬ С МОЛОКОМ,krov’ s molokom,Blood with milk.,"Someone with fresh complexion, in the best of health; one who looks quite well.",The very picture of health.,0.0
236,237,"КТО В ЛЕС, КТО ПО ДРОВА",kto v l’es kto po drova,"Some to the forest, some to gather firewood.",A phrase expressing lack of coordination or harmony (often said of singing or playing musical instruments),,0.0
240,241,КУСАТЬ СЕБЕ ЛОКТИ,kusat’ s’eb’e lokti,To bite one’s own elbows.,To be deeply vexed; to be upset over an irreparable loss of someone or something.,To cry over spilt milk; to kick oneself over a lost opportunity.,0.0
241,242,ЛЁГКАЯ РУКА,l’okhkaya ruka,A light hand.,Someone is known to bring luck to any kind of undertaking.,,0.0
242,243,ЛЁГОК НА ПОДЪЁМ,l’ogok na pod’yom,Easy on the ascent.,Always ready and willing to go somewhere or do something.,Quick off the mark; quick on one’s toes.,0.0
243,244,ЛЁД ТРОНУЛСЯ,l’od tronuls’a,The ice has begun to break.,A beginning has been made; things are moving.,,0.0
244,245,ЛЕЗТЬ В БУТЫЛКУ,l’ezt’ v butylku,To climb into the bottle.,"To be carried away by excitement, to lose self-control, to become suddenly or violently angry (usually without reason, over a mere trifle).",To fly off the handle; to blow one’s top.,0.0
245,246,ЛЕЗТЬ В ДУШУ,l’ezt’ v dushu,To climb into someone’s soul.,"To try to find out someone’s innermost feelings, thoughts, intentions; to win someone’s favour or confidence.",To worm oneself into someone’s favour/confidence,0.0
246,247,ЛЕЗТЬ ИЗ КОЖИ ВОН,l’ezt’ iz kozhy von,To climb out of one’s skin.,"To make a great effort; to do one’s utmost, to try one’s hardest.",To lean/bend over backwards; to go out of one’s way; to go all out.,0.0
248,249,ЛИТЬ КАК ИЗ ВЕДРА,lit’ kak iz v’edra,To pour as from a pail.,To rain heavily.,It rains cats and dogs,0.0
250,251,ЛОВИТЬ НА ЛЕТУ,lovit na l’etu,To catch something in flight.,"To be quick to comprehend or to learn something; to grasp something easily, at once.",To be quick on the uptake,0.0
251,252,ЛОВИТЬ кого-либо НА СЛОВЕ,lovit’ na slove,To catch one at one’s word.,To make someone do or promise to do what he said he would do.,To take someone at his word.,0.0
256,257,ЛОПНУТЬ КАК МЫЛЬНЫЙ ПУЗЫРЬ,lopnut’ kak myl’ny puzyr’,To burst like a soap-bubble.,"Said of something that proves to be unstable, ephemeral or easily destroyed.",,0.0
257,258,МАСТЕР НА ВСЕ РУКИ,mast’er na vs’e ruki,A master at all hands.,To be good at anything one undertakes; to show talent in anything one turns his hand to; a versatile worker.,A jack-of-all-trades,0.0
